,NOC,Sport,count
1928,ITA,Rhythmic Gymnastics,47
1929,ITA,Rowing,532
1930,ITA,Sailing,262
1931,ITA,Shooting,339
1932,ITA,Short Track Speed Skating,137
1933,ITA,Skeleton,10
1934,ITA,Ski Jumping,96
1935,ITA,Snowboarding,64
1936,ITA,Softball,30
1937,ITA,Speed Skating,181
1938,ITA,Swimming,722
1939,ITA,Synchronized Swimming,52
1940,ITA,Table Tennis,19
1941,ITA,Taekwondo,11
1942,ITA,Tennis,107
1943,ITA,Trampolining,3
1944,ITA,Triathlon,17
1945,ITA,Tug-Of-War,8
1946,ITA,Volleyball,192
1947,ITA,Water Polo,279
1948,ITA,Weightlifting,94
1949,ITA,Wrestling,164
1950,IVB,Athletics,31
1951,IVB,Freestyle Skiing,1
1952,IVB,Sailing,10
1953,IVB,Speed Skating,2
1954,IVB,Swimming,1
1955,JAM,Athletics,680
1956,JAM,Badminton,1
1957,JAM,Bobsleigh,30
1958,JAM,Boxing,22
1959,JAM,Cycling,35
1960,JAM,Diving,2
1961,JAM,Equestrianism,2
1962,JAM,Freestyle Skiing,1
1963,JAM,Gymnastics,4
1964,JAM,Sailing,17
1965,JAM,Shooting,2
1966,JAM,Swimming,39
1967,JAM,Table Tennis,6
1968,JAM,Taekwondo,1
1969,JAM,Triathlon,1
1970,JAM,Weightlifting,5
1971,JOR,Archery,1
1972,JOR,Athletics,21
1973,JOR,Boxing,5
1974,JOR,Equestrianism,4
1975,JOR,Fencing,2
1976,JOR,Judo,1
1977,JOR,Shooting,16
1978,JOR,Swimming,12
1979,JOR,Table Tennis,5
1980,JOR,Taekwondo,8
1981,JOR,Triathlon,1
1982,JOR,Wrestling,4
1983,JPN,Alpine Skiing,198
1984,JPN,Archery,92
1985,JPN,Art Competitions,129
1986,JPN,Athletics,782
1987,JPN,Badminton,73
1988,JPN,Baseball,112
1989,JPN,Basketball,115
1990,JPN,Beach Volleyball,18
1991,JPN,Biathlon,162
1992,JPN,Bobsleigh,92
1993,JPN,Boxing,77
1994,JPN,Canoeing,98
1995,JPN,Cross Country Skiing,321
1996,JPN,Curling,29
1997,JPN,Cycling,170
1998,JPN,Diving,92
1999,JPN,Equestrianism,199
2000,JPN,Fencing,169
2001,JPN,Figure Skating,91
2002,JPN,Football,220
2003,JPN,Freestyle Skiing,47
2004,JPN,Golf,4
2005,JPN,Gymnastics,1216
2006,JPN,Handball,66
2007,JPN,Hockey,125
2008,JPN,Ice Hockey,180
2009,JPN,Judo,129
2010,JPN,Luge,60
2011,JPN,Modern Pentathlon,46
2012,JPN,Nordic Combined,107
2013,JPN,Rhythmic Gymnastics,33
2014,JPN,Rowing,180
2015,JPN,Rugby Sevens,25
2016,JPN,Sailing,116
2017,JPN,Shooting,191
2018,JPN,Short Track Speed Skating,122
2019,JPN,Skeleton,10
2020,JPN,Ski Jumping,166
2021,JPN,Snowboarding,49
2022,JPN,Softball,59
2023,JPN,Speed Skating,474
2024,JPN,Swimming,858
2025,JPN,Synchronized Swimming,78
2026,JPN,Table Tennis,98
2027,JPN,Taekwondo,7
2028,JPN,Tennis,65
2029,JPN,Trampolining,12
2030,JPN,Triathlon,25
2031,JPN,Volleyball,232
2032,JPN,Water Polo,76
2033,JPN,Weightlifting,111
2034,JPN,Wrestling,238
2035,KAZ,Alpine Skiing,31
2036,KAZ,Archery,27
2037,KAZ,Athletics,138
2038,KAZ,Biathlon,94
2039,KAZ,Boxing,56
2040,KAZ,Canoeing,68
2041,KAZ,Cross Country Skiing,240
2042,KAZ,Cycling,41
2043,KAZ,Diving,13
2044,KAZ,Fencing,10
2045,KAZ,Figure Skating,11
2046,KAZ,Freestyle Skiing,22
2047,KAZ,Gymnastics,45
2048,KAZ,Handball,14
2049,KAZ,Ice Hockey,64
2050,KAZ,Judo,49
2051,KAZ,Luge,1
2052,KAZ,Modern Pentathlon,10
2053,KAZ,Rhythmic Gymnastics,4
2054,KAZ,Rowing,8
2055,KAZ,Shooting,54
2056,KAZ,Short Track Speed Skating,15
2057,KAZ,Ski Jumping,50
2058,KAZ,Snowboarding,2
2059,KAZ,Speed Skating,68
2060,KAZ,Swimming,68
2061,KAZ,Synchronized Swimming,10
2062,KAZ,Table Tennis,2
2063,KAZ,Taekwondo,9
2064,KAZ,Tennis,8
2065,KAZ,Trampolining,1
2066,KAZ,Triathlon,6
2067,KAZ,Volleyball,12
2068,KAZ,Water Polo,61
2069,KAZ,Weightlifting,40
2070,KAZ,Wrestling,77
2071,KEN,Archery,4
2072,KEN,Athletics,466
2073,KEN,Boxing,62
2074,KEN,Cross Country Skiing,4
2075,KEN,Cycling,1
2076,KEN,Hockey,110
2077,KEN,Judo,8
2078,KEN,Rowing,2
2079,KEN,Rugby Sevens,24
2080,KEN,Sailing,4
2081,KEN,Shooting,32
2082,KEN,Swimming,13
2083,KEN,Taekwondo,2
2084,KEN,Volleyball,24
2085,KEN,Weightlifting,9
2086,KEN,Wrestling,7
2087,KGZ,Alpine Skiing,6
2088,KGZ,Athletics,33
2089,KGZ,Biathlon,6
2090,KGZ,Boxing,12
2091,KGZ,Canoeing,4
2092,KGZ,Cross Country Skiing,1
2093,KGZ,Cycling,5
2094,KGZ,Fencing,2
2095,KGZ,Judo,14
2096,KGZ,Modern Pentathlon,3
2097,KGZ,Sailing,1
2098,KGZ,Shooting,18
2099,KGZ,Ski Jumping,2
2100,KGZ,Swimming,77
2101,KGZ,Taekwondo,2
2102,KGZ,Weightlifting,7
2103,KGZ,Wrestling,34
2104,KIR,Athletics,7
2105,KIR,Weightlifting,4
2106,KOR,Alpine Skiing,76
2107,KOR,Archery,102
2108,KOR,Athletics,243
2109,KOR,Badminton,112
2110,KOR,Baseball,68
2111,KOR,Basketball,134
2112,KOR,Biathlon,41
2113,KOR,Bobsleigh,18
2114,KOR,Boxing,110
2115,KOR,Canoeing,48
2116,KOR,Cross Country Skiing,107
2117,KOR,Curling,5
2118,KOR,Cycling,113
2119,KOR,Diving,27
2120,KOR,Equestrianism,54
2121,KOR,Fencing,198
2122,KOR,Figure Skating,24
2123,KOR,Football,156
2124,KOR,Freestyle Skiing,7
2125,KOR,Golf,6
2126,KOR,Gymnastics,512
2127,KOR,Handball,228
2128,KOR,Hockey,225
2129,KOR,Judo,119
2130,KOR,Luge,16
2131,KOR,Modern Pentathlon,31
2132,KOR,Rhythmic Gymnastics,7
2133,KOR,Rowing,64
2134,KOR,Sailing,40
2135,KOR,Shooting,206
2136,KOR,Short Track Speed Skating,141
2137,KOR,Skeleton,5
2138,KOR,Ski Jumping,54
2139,KOR,Snowboarding,7
2140,KOR,Speed Skating,271
2141,KOR,Swimming,225
2142,KOR,Synchronized Swimming,11
2143,KOR,Table Tennis,101
2144,KOR,Taekwondo,21
2145,KOR,Tennis,29
2146,KOR,Triathlon,1
2147,KOR,Volleyball,215
2148,KOR,Water Polo,13
2149,KOR,Weightlifting,117
2150,KOR,Wrestling,156
2151,KOS,Athletics,2
2152,KOS,Cycling,1
2153,KOS,Judo,2
2154,KOS,Shooting,1
2155,KOS,Swimming,2
2156,KSA,Archery,5
2157,KSA,Athletics,105
2158,KSA,Cycling,14
2159,KSA,Equestrianism,28
2160,KSA,Fencing,12
2161,KSA,Football,30
2162,KSA,Judo,3
2163,KSA,Shooting,14
2164,KSA,Swimming,9
2165,KSA,Table Tennis,2
2166,KSA,Taekwondo,1
2167,KSA,Weightlifting,7
2168,KUW,Athletics,49
2169,KUW,Boxing,3
2170,KUW,Diving,8
2171,KUW,Fencing,57
2172,KUW,Football,51
2173,KUW,Handball,26
2174,KUW,Judo,24
2175,KUW,Rowing,1
2176,KUW,Shooting,24
2177,KUW,Swimming,35
2178,KUW,Table Tennis,3
2179,KUW,Taekwondo,1
2180,KUW,Weightlifting,2
2181,LAO,Archery,1
2182,LAO,Athletics,28
2183,LAO,Boxing,9
2184,LAO,Cycling,1
2185,LAO,Judo,1
2186,LAO,Shooting,6
2187,LAO,Swimming,8
2188,LAT,Alpine Skiing,28
2189,LAT,Art Competitions,24
2190,LAT,Athletics,146
2191,LAT,Basketball,19
2192,LAT,Beach Volleyball,8
2193,LAT,Biathlon,118
2194,LAT,Bobsleigh,74
2195,LAT,Boxing,3
2196,LAT,Canoeing,20
2197,LAT,Cross Country Skiing,61
2198,LAT,Cycling,62
2199,LAT,Fencing,1
2200,LAT,Figure Skating,9
2201,LAT,Football,11
2202,LAT,Freestyle Skiing,2
2203,LAT,Gymnastics,28
2204,LAT,Ice Hockey,101
2205,LAT,Judo,10
2206,LAT,Luge,64
2207,LAT,Modern Pentathlon,16
2208,LAT,Nordic Combined,1
2209,LAT,Rowing,8
2210,LAT,Sailing,9
2211,LAT,Shooting,14
2212,LAT,Short Track Speed Skating,6
2213,LAT,Skeleton,7
2214,LAT,Speed Skating,27
2215,LAT,Swimming,29
2216,LAT,Table Tennis,1
2217,LAT,Tennis,6
2218,LAT,Weightlifting,20
2219,LAT,Wrestling,18
2220,LBA,Archery,1
2221,LBA,Athletics,27
2222,LBA,Cycling,14
2223,LBA,Judo,7
2224,LBA,Rowing,1
2225,LBA,Swimming,14
2226,LBA,Table Tennis,1
2227,LBA,Taekwondo,3
2228,LBA,Volleyball,9
2229,LBA,Weightlifting,7
2230,LBR,Athletics,70
2231,LBR,Boxing,4
2232,LCA,Athletics,19
2233,LCA,Sailing,3
2234,LCA,Swimming,6
2235,LES,Athletics,51
2236,LES,Boxing,10
2237,LES,Cycling,1
2238,LES,Swimming,1
2239,LES,Taekwondo,3
2240,LIB,Alpine Skiing,89
2241,LIB,Athletics,29
2242,LIB,Boxing,9
2243,LIB,Canoeing,1
2244,LIB,Cross Country Skiing,1
2245,LIB,Cycling,13
2246,LIB,Fencing,55
2247,LIB,Judo,18
2248,LIB,Rowing,1
2249,LIB,Sailing,3
2250,LIB,Shooting,26
2251,LIB,Skeleton,1
2252,LIB,Swimming,43
2253,LIB,Table Tennis,3
2254,LIB,Taekwondo,1
2255,LIB,Weightlifting,13
2256,LIB,Wrestling,23
2257,LIE,Alpine Skiing,205
2258,LIE,Athletics,33
2259,LIE,Bobsleigh,6
2260,LIE,Cross Country Skiing,46
2261,LIE,Cycling,14
2262,LIE,Equestrianism,1
2263,LIE,Gymnastics,7
2264,LIE,Judo,16
2265,LIE,Luge,19
2266,LIE,Shooting,16
2267,LIE,Swimming,4
2268,LIE,Tennis,2
2269,LTU,Alpine Skiing,10
2270,LTU,Athletics,112
2271,LTU,Badminton,3
2272,LTU,Basketball,83
2273,LTU,Biathlon,26
2274,LTU,Boxing,18
2275,LTU,Canoeing,26
2276,LTU,Cross Country Skiing,61
2277,LTU,Cycling,81
2278,LTU,Figure Skating,12
2279,LTU,Football,11
2280,LTU,Gymnastics,23
2281,LTU,Judo,8
2282,LTU,Modern Pentathlon,20
2283,LTU,Rhythmic Gymnastics,1
2284,LTU,Rowing,30
2285,LTU,Sailing,10
2286,LTU,Shooting,6
2287,LTU,Short Track Speed Skating,3
2288,LTU,Speed Skating,4
2289,LTU,Swimming,78
2290,LTU,Table Tennis,5
2291,LTU,Tennis,1
2292,LTU,Weightlifting,6
2293,LTU,Wrestling,16
2294,LUX,Alpine Skiing,14
2295,LUX,Archery,10
2296,LUX,Art Competitions,42
2297,LUX,Athletics,102
2298,LUX,Bobsleigh,9
2299,LUX,Boxing,29
2300,LUX,Canoeing,19
2301,LUX,Cross Country Skiing,1
2302,LUX,Cycling,72
2303,LUX,Fencing,58
2304,LUX,Figure Skating,2
2305,LUX,Football,67
2306,LUX,Gymnastics,433
2307,LUX,Judo,4
2308,LUX,Sailing,1
2309,LUX,Shooting,22
2310,LUX,Swimming,53
2311,LUX,Table Tennis,6
2312,LUX,Tennis,9
2313,LUX,Triathlon,4
2314,LUX,Water Polo,7
2315,LUX,Weightlifting,14
2316,LUX,Wrestling,18
2317,MAD,Alpine Skiing,2
2318,MAD,Athletics,58
2319,MAD,Boxing,12
2320,MAD,Cycling,1
2321,MAD,Judo,13
2322,MAD,Swimming,21
2323,MAD,Tennis,8
2324,MAD,Weightlifting,3
2325,MAD,Wrestling,1
2326,MAL,Athletics,13
2327,MAL,Hockey,17
2328,MAL,Shooting,5
2329,MAL,Swimming,5
2330,MAL,Weightlifting,5
2331,MAR,Alpine Skiing,44
2332,MAR,Archery,1
2333,MAR,Athletics,197
2334,MAR,Basketball,12
2335,MAR,Boxing,83
2336,MAR,Canoeing,3
2337,MAR,Cross Country Skiing,6
2338,MAR,Cycling,20
2339,MAR,Equestrianism,2
2340,MAR,Fencing,30
2341,MAR,Football,110
2342,MAR,Golf,1
2343,MAR,Gymnastics,49
2344,MAR,Judo,29
2345,MAR,Modern Pentathlon,2
2346,MAR,Sailing,2
2347,MAR,Shooting,9
2348,MAR,Swimming,9
2349,MAR,Table Tennis,1
2350,MAR,Taekwondo,15
2351,MAR,Tennis,6
2352,MAR,Weightlifting,11
2353,MAR,Wrestling,40
2354,MAS,Archery,20
2355,MAS,Athletics,66
2356,MAS,Badminton,51
2357,MAS,Boxing,3
2358,MAS,Canoeing,1
2359,MAS,Cycling,51
2360,MAS,Diving,36
2361,MAS,Fencing,4
2362,MAS,Football,15
2363,MAS,Golf,4
2364,MAS,Gymnastics,9
2365,MAS,Hockey,126
2366,MAS,Judo,1
2367,MAS,Sailing,7
2368,MAS,Shooting,22
2369,MAS,Swimming,93
2370,MAS,Table Tennis,4
2371,MAS,Taekwondo,4
2372,MAS,Weightlifting,11
2373,MAS,Wrestling,2
2374,MAW,Archery,1
2375,MAW,Athletics,46
2376,MAW,Boxing,16
2377,MAW,Cycling,17
2378,MAW,Swimming,7
2379,MDA,Alpine Skiing,4
2380,MDA,Archery,4
2381,MDA,Athletics,61
2382,MDA,Biathlon,26
2383,MDA,Boxing,8
2384,MDA,Canoeing,8
2385,MDA,Cross Country Skiing,9
2386,MDA,Cycling,12
2387,MDA,Judo,11
2388,MDA,Luge,4
2389,MDA,Shooting,6
2390,MDA,Swimming,39
2391,MDA,Taekwondo,1
2392,MDA,Tennis,1
2393,MDA,Weightlifting,21
2394,MDA,Wrestling,19
2395,MDV,Athletics,33
2396,MDV,Badminton,1
2397,MDV,Swimming,15
2398,MEX,Alpine Skiing,39
2399,MEX,Archery,56
2400,MEX,Art Competitions,18
2401,MEX,Athletics,372
2402,MEX,Badminton,3
2403,MEX,Basketball,84
2404,MEX,Beach Volleyball,12
2405,MEX,Bobsleigh,19
2406,MEX,Boxing,97
2407,MEX,Canoeing,64
2408,MEX,Cross Country Skiing,7
2409,MEX,Cycling,141
2410,MEX,Diving,164
2411,MEX,Equestrianism,185
2412,MEX,Fencing,127
2413,MEX,Figure Skating,4
2414,MEX,Football,184
2415,MEX,Golf,3
2416,MEX,Gymnastics,244
2417,MEX,Hockey,34
2418,MEX,Judo,30
2419,MEX,Modern Pentathlon,75
2420,MEX,Polo,7
2421,MEX,Rowing,69
2422,MEX,Sailing,64
2423,MEX,Shooting,112
2424,MEX,Skeleton,1
2425,MEX,Swimming,393
2426,MEX,Synchronized Swimming,34
2427,MEX,Table Tennis,5
2428,MEX,Taekwondo,17
2429,MEX,Tennis,30
2430,MEX,Triathlon,11
2431,MEX,Volleyball,36
2432,MEX,Water Polo,40
2433,MEX,Weightlifting,28
2434,MEX,Wrestling,71
2435,MGL,Archery,22
2436,MGL,Athletics,22
2437,MGL,Biathlon,6
2438,MGL,Boxing,54
2439,MGL,Cross Country Skiing,60
2440,MGL,Cycling,24
2441,MGL,Gymnastics,49
2442,MGL,Judo,86
2443,MGL,Shooting,63
2444,MGL,Short Track Speed Skating,6
2445,MGL,Speed Skating,25
2446,MGL,Swimming,9
2447,MGL,Taekwondo,1
2448,MGL,Weightlifting,13
2449,MGL,Wrestling,110
2450,MHL,Athletics,6
2451,MHL,Swimming,6
2452,MHL,Taekwondo,1
2453,MHL,Weightlifting,1
2454,MKD,Alpine Skiing,12
2455,MKD,Athletics,10
2456,MKD,Canoeing,6
2457,MKD,Cross Country Skiing,10
2458,MKD,Judo,1
2459,MKD,Shooting,7
2460,MKD,Swimming,30
2461,MKD,Wrestling,8
2462,MLI,Athletics,33
2463,MLI,Basketball,12
2464,MLI,Boxing,4
2465,MLI,Football,16
2466,MLI,Judo,14
2467,MLI,Swimming,10
2468,MLI,Taekwondo,3
2469,MLT,Alpine Skiing,2
2470,MLT,Archery,4
2471,MLT,Athletics,20
2472,MLT,Cycling,18
2473,MLT,Judo,8
2474,MLT,Sailing,10
2475,MLT,Shooting,18
2476,MLT,Swimming,15
2477,MLT,Water Polo,18
2478,MLT,Weightlifting,1
2479,MLT,Wrestling,4
2480,MNE,Alpine Skiing,5
2481,MNE,Athletics,6
2482,MNE,Boxing,2
2483,MNE,Handball,29
2484,MNE,Judo,3
2485,MNE,Sailing,2
2486,MNE,Shooting,4
2487,MNE,Swimming,3
2488,MNE,Tennis,1
2489,MNE,Water Polo,39
2490,MON,Alpine Skiing,26
2491,MON,Archery,2
2492,MON,Art Competitions,8
2493,MON,Athletics,15
2494,MON,Bobsleigh,35
2495,MON,Cycling,1
2496,MON,Fencing,7
2497,MON,Gymnastics,8
2498,MON,Judo,8
2499,MON,Rowing,7
2500,MON,Sailing,13
2501,MON,Shooting,51
2502,MON,Swimming,12
2503,MON,Taekwondo,1
2504,MON,Triathlon,1
2505,MON,Weightlifting,2
2506,MOZ,Athletics,37
2507,MOZ,Boxing,5
2508,MOZ,Canoeing,4
2509,MOZ,Judo,3
2510,MOZ,Swimming,29
2511,MRI,Archery,3
2512,MRI,Athletics,48
2513,MRI,Badminton,27
2514,MRI,Beach Volleyball,2
2515,MRI,Boxing,14
2516,MRI,Cycling,2
2517,MRI,Judo,6
2518,MRI,Sailing,1
2519,MRI,Swimming,25
2520,MRI,Table Tennis,5
2521,MRI,Triathlon,2
2522,MRI,Weightlifting,7
2523,MRI,Wrestling,2
2524,MTN,Athletics,22
2525,MTN,Wrestling,7
2526,MYA,Archery,5
2527,MYA,Athletics,30
2528,MYA,Boxing,20
2529,MYA,Canoeing,2
2530,MYA,Football,13
2531,MYA,Judo,3
2532,MYA,Rowing,2
2533,MYA,Sailing,6
2534,MYA,Shooting,6
2535,MYA,Swimming,7
2536,MYA,Weightlifting,17
2537,NAM,Athletics,30
2538,NAM,Boxing,13
2539,NAM,Cycling,10
2540,NAM,Gymnastics,5
2541,NAM,Shooting,8
2542,NAM,Swimming,9
2543,NAM,Wrestling,2
2544,NBO,Athletics,2
2545,NCA,Athletics,38
2546,NCA,Baseball,20
2547,NCA,Boxing,14
2548,NCA,Cycling,10
2549,NCA,Judo,5
2550,NCA,Shooting,8
2551,NCA,Swimming,21
2552,NCA,Taekwondo,1
2553,NCA,Weightlifting,11
2554,NCA,Wrestling,1
2555,NED,Alpine Skiing,8
2556,NED,Archery,54
2557,NED,Art Competitions,209
2558,NED,Athletics,511
2559,NED,Badminton,31
2560,NED,Baseball,92
2561,NED,Beach Volleyball,28
2562,NED,Bobsleigh,43
2563,NED,Boxing,65
2564,NED,Canoeing,85
2565,NED,Cycling,473
2566,NED,Diving,35
2567,NED,Equestrianism,248
2568,NED,Fencing,252
2569,NED,Figure Skating,8
2570,NED,Football,111
2571,NED,Freestyle Skiing,1
2572,NED,Golf,1
2573,NED,Gymnastics,349
2574,NED,Handball,14
2575,NED,Hockey,418
2576,NED,Ice Hockey,20
2577,NED,Judo,84
2578,NED,Modern Pentathlon,18
2579,NED,Rowing,470
2580,NED,Sailing,210
2581,NED,Shooting,175
2582,NED,Short Track Speed Skating,78
2583,NED,Snowboarding,14
2584,NED,Softball,30
2585,NED,Speed Skating,503
2586,NED,Swimming,693
2587,NED,Synchronized Swimming,14
2588,NED,Table Tennis,42
2589,NED,Taekwondo,7
2590,NED,Tennis,53
2591,NED,Trampolining,4
2592,NED,Triathlon,13
2593,NED,Tug-Of-War,8
2594,NED,Volleyball,105
2595,NED,Water Polo,195
2596,NED,Weightlifting,23
2597,NED,Wrestling,44
2598,NEP,Alpinism,1
2599,NEP,Archery,1
2600,NEP,Athletics,39
2601,NEP,Boxing,15
2602,NEP,Cross Country Skiing,5
2603,NEP,Judo,4
2604,NEP,Shooting,7
2605,NEP,Swimming,12
2606,NEP,Taekwondo,3
2607,NEP,Weightlifting,7
2608,NFL,Athletics,1
2609,NGR,Athletics,417
2610,NGR,Badminton,5
2611,NGR,Basketball,35
2612,NGR,Boxing,73
2613,NGR,Canoeing,2
2614,NGR,Football,163
2615,NGR,Handball,16
2616,NGR,Judo,11
2617,NGR,Rowing,1
2618,NGR,Swimming,12
2619,NGR,Table Tennis,72
2620,NGR,Taekwondo,7
2621,NGR,Tennis,6
2622,NGR,Weightlifting,27
2623,NGR,Wrestling,35
2624,NIG,Athletics,21
2625,NIG,Boxing,13
2626,NIG,Judo,3
2627,NIG,Rowing,1
2628,NIG,Swimming,8
2629,NIG,Taekwondo,1
2630,NOR,Alpine Skiing,358
2631,NOR,Archery,18
2632,NOR,Art Competitions,17
2633,NOR,Athletics,351
2634,NOR,Badminton,3
2635,NOR,Beach Volleyball,24
2636,NOR,Biathlon,281
2637,NOR,Bobsleigh,44
2638,NOR,Boxing,54
2639,NOR,Canoeing,100
2640,NOR,Cross Country Skiing,578
2641,NOR,Curling,35
2642,NOR,Cycling,152
2643,NOR,Diving,24
2644,NOR,Equestrianism,60
2645,NOR,Fencing,104
2646,NOR,Figure Skating,25
2647,NOR,Football,118
2648,NOR,Freestyle Skiing,29
2649,NOR,Golf,3
2650,NOR,Gymnastics,346
2651,NOR,Handball,116
2652,NOR,Ice Hockey,223
2653,NOR,Judo,4
2654,NOR,Luge,29
2655,NOR,Modern Pentathlon,6
2656,NOR,Nordic Combined,129
2657,NOR,Rhythmic Gymnastics,1
2658,NOR,Rowing,171
2659,NOR,Sailing,266
2660,NOR,Shooting,410
2661,NOR,Short Track Speed Skating,8
2662,NOR,Skeleton,3
2663,NOR,Ski Jumping,180
2664,NOR,Snowboarding,36
2665,NOR,Speed Skating,410
2666,NOR,Swimming,103
2667,NOR,Taekwondo,4
2668,NOR,Tennis,34
2669,NOR,Triathlon,1
2670,NOR,Weightlifting,14
2671,NOR,Wrestling,88
2672,NRU,Judo,2
2673,NRU,Weightlifting,11
2674,NZL,Alpine Skiing,108
2675,NZL,Archery,10
2676,NZL,Athletics,237
2677,NZL,Badminton,15
2678,NZL,Basketball,60
2679,NZL,Beach Volleyball,2
2680,NZL,Biathlon,2
2681,NZL,Bobsleigh,18
2682,NZL,Boxing,28
2683,NZL,Canoeing,75
2684,NZL,Cross Country Skiing,5
2685,NZL,Curling,5
2686,NZL,Cycling,230
2687,NZL,Diving,6
2688,NZL,Equestrianism,121
2689,NZL,Fencing,8
2690,NZL,Football,80
2691,NZL,Freestyle Skiing,10
2692,NZL,Golf,3
2693,NZL,Gymnastics,51
2694,NZL,Hockey,291
2695,NZL,Judo,19
2696,NZL,Luge,2
2697,NZL,Modern Pentathlon,1
2698,NZL,Rhythmic Gymnastics,2
2699,NZL,Rowing,254
2700,NZL,Rugby Sevens,25
2701,NZL,Sailing,154
2702,NZL,Shooting,42
2703,NZL,Short Track Speed Skating,22
2704,NZL,Skeleton,8
2705,NZL,Snowboarding,15
2706,NZL,Softball,15
2707,NZL,Speed Skating,5
2708,NZL,Swimming,306
2709,NZL,Synchronized Swimming,6
2710,NZL,Table Tennis,17
2711,NZL,Taekwondo,8
2712,NZL,Tennis,9
2713,NZL,Trampolining,1
2714,NZL,Triathlon,24
2715,NZL,Water Polo,1
2716,NZL,Weightlifting,24
2717,NZL,Wrestling,17
2718,OMA,Athletics,38
2719,OMA,Boxing,2
2720,OMA,Cycling,1
2721,OMA,Sailing,1
2722,OMA,Shooting,21
2723,OMA,Swimming,3
2724,PAK,Alpine Skiing,2
2725,PAK,Athletics,130
2726,PAK,Boxing,48
2727,PAK,Cycling,31
2728,PAK,Hockey,245
2729,PAK,Judo,1
2730,PAK,Rowing,3
2731,PAK,Sailing,10
2732,PAK,Shooting,22
2733,PAK,Swimming,25
2734,PAK,Table Tennis,1
2735,PAK,Weightlifting,12
2736,PAK,Wrestling,32
2737,PAN,Athletics,36
2738,PAN,Basketball,12
2739,PAN,Boxing,5
2740,PAN,Canoeing,1
2741,PAN,Fencing,3
2742,PAN,Gymnastics,4
2743,PAN,Judo,4
2744,PAN,Shooting,4
2745,PAN,Swimming,33
2746,PAN,Taekwondo,2
2747,PAN,Weightlifting,17
2748,PAN,Wrestling,18
2749,PAR,Athletics,31
2750,PAR,Boxing,4
2751,PAR,Fencing,9
2752,PAR,Football,34
2753,PAR,Freestyle Skiing,1
2754,PAR,Golf,2
2755,PAR,Judo,5
2756,PAR,Rowing,5
2757,PAR,Sailing,2
2758,PAR,Shooting,10
2759,PAR,Swimming,20
2760,PAR,Table Tennis,3
2761,PAR,Tennis,9
2762,PER,Alpine Skiing,8
2763,PER,Art Competitions,3
2764,PER,Athletics,80
2765,PER,Badminton,5
2766,PER,Basketball,32
2767,PER,Boxing,8
2768,PER,Canoeing,1
2769,PER,Cross Country Skiing,2
2770,PER,Cycling,26
2771,PER,Diving,3
2772,PER,Equestrianism,2
2773,PER,Fencing,8
2774,PER,Football,31
2775,PER,Gymnastics,4
2776,PER,Judo,5
2777,PER,Modern Pentathlon,2
2778,PER,Rowing,12
2779,PER,Sailing,6
2780,PER,Shooting,88
2781,PER,Swimming,79
2782,PER,Table Tennis,11
2783,PER,Taekwondo,3
2784,PER,Tennis,3
2785,PER,Volleyball,75
2786,PER,Weightlifting,13
2787,PER,Wrestling,22
2788,PHI,Alpine Skiing,6
2789,PHI,Archery,10
2790,PHI,Art Competitions,2
2791,PHI,Athletics,96
2792,PHI,Badminton,1
2793,PHI,Basketball,79
2794,PHI,Boxing,75
2795,PHI,Cycling,27
2796,PHI,Diving,4
2797,PHI,Equestrianism,3
2798,PHI,Fencing,2
2799,PHI,Figure Skating,1
2800,PHI,Golf,1
2801,PHI,Gymnastics,20
2802,PHI,Judo,15
2803,PHI,Luge,1
2804,PHI,Rowing,2
2805,PHI,Sailing,20
2806,PHI,Shooting,72
2807,PHI,Swimming,197
2808,PHI,Table Tennis,1
2809,PHI,Taekwondo,10
2810,PHI,Weightlifting,23
2811,PHI,Wrestling,26
2812,PLE,Athletics,10
2813,PLE,Equestrianism,1
2814,PLE,Judo,2
2815,PLE,Swimming,8
2816,PLW,Athletics,9
2817,PLW,Canoeing,2
2818,PLW,Judo,1
2819,PLW,Swimming,7
2820,PLW,Weightlifting,2
2821,PLW,Wrestling,4
2822,PNG,Athletics,60
2823,PNG,Boxing,15
2824,PNG,Judo,2
2825,PNG,Sailing,2
2826,PNG,Shooting,3
2827,PNG,Swimming,12
2828,PNG,Taekwondo,4
2829,PNG,Weightlifting,10
2830,POL,Alpine Skiing,125
2831,POL,Archery,66
2832,POL,Art Competitions,163
2833,POL,Athletics,851
2834,POL,Badminton,32
2835,POL,Basketball,82
2836,POL,Beach Volleyball,8
2837,POL,Biathlon,200
2838,POL,Bobsleigh,42
2839,POL,Boxing,137
2840,POL,Canoeing,288
2841,POL,Cross Country Skiing,288
2842,POL,Cycling,242
2843,POL,Diving,21
2844,POL,Equestrianism,128
2845,POL,Fencing,414
2846,POL,Figure Skating,33
2847,POL,Football,106
2848,POL,Freestyle Skiing,2
2849,POL,Gymnastics,641
2850,POL,Handball,72
2851,POL,Hockey,92
2852,POL,Ice Hockey,219
2853,POL,Judo,75
2854,POL,Luge,63
2855,POL,Military Ski Patrol,4
2856,POL,Modern Pentathlon,58
2857,POL,Nordic Combined,43
2858,POL,Rhythmic Gymnastics,15
2859,POL,Rowing,313
2860,POL,Sailing,96
2861,POL,Shooting,179
2862,POL,Short Track Speed Skating,15
2863,POL,Skeleton,1
2864,POL,Ski Jumping,133
2865,POL,Snowboarding,25
