,NOC,Sport,count
330,BEL,Freestyle Skiing,1
331,BEL,Golf,3
332,BEL,Gymnastics,200
333,BEL,Hockey,228
334,BEL,Ice Hockey,40
335,BEL,Judo,55
336,BEL,Modern Pentathlon,15
337,BEL,Polo,4
338,BEL,Rhythmic Gymnastics,4
339,BEL,Rowing,180
340,BEL,Sailing,93
341,BEL,Shooting,217
342,BEL,Short Track Speed Skating,31
343,BEL,Snowboarding,1
344,BEL,Speed Skating,50
345,BEL,Swimming,279
346,BEL,Synchronized Swimming,5
347,BEL,Table Tennis,14
348,BEL,Taekwondo,4
349,BEL,Tennis,80
350,BEL,Triathlon,12
351,BEL,Tug-Of-War,8
352,BEL,Volleyball,12
353,BEL,Water Polo,100
354,BEL,Weightlifting,46
355,BEL,Wrestling,113
356,BEN,Athletics,42
357,BEN,Boxing,13
358,BEN,Cycling,2
359,BEN,Fencing,1
360,BEN,Judo,3
361,BEN,Swimming,7
362,BEN,Taekwondo,2
363,BEN,Tennis,1
364,BER,Athletics,62
365,BER,Boxing,4
366,BER,Cross Country Skiing,2
367,BER,Cycling,4
368,BER,Diving,4
369,BER,Equestrianism,11
370,BER,Luge,4
371,BER,Rowing,2
372,BER,Sailing,61
373,BER,Skeleton,1
374,BER,Swimming,51
375,BER,Tennis,1
376,BER,Triathlon,5
377,BHU,Archery,34
378,BHU,Shooting,2
379,BIH,Alpine Skiing,29
380,BIH,Athletics,21
381,BIH,Biathlon,8
382,BIH,Bobsleigh,12
383,BIH,Canoeing,3
384,BIH,Cross Country Skiing,9
385,BIH,Judo,7
386,BIH,Luge,3
387,BIH,Shooting,19
388,BIH,Swimming,15
389,BIH,Table Tennis,2
390,BIH,Taekwondo,1
391,BIH,Tennis,3
392,BIH,Weightlifting,1
393,BIH,Wrestling,1
394,BIZ,Athletics,38
395,BIZ,Boxing,1
396,BIZ,Cycling,27
397,BIZ,Judo,2
398,BIZ,Shooting,6
399,BIZ,Taekwondo,1
400,BIZ,Weightlifting,1
401,BLR,Alpine Skiing,14
402,BLR,Archery,10
403,BLR,Athletics,246
404,BLR,Badminton,6
405,BLR,Basketball,22
406,BLR,Biathlon,185
407,BLR,Boxing,22
408,BLR,Canoeing,60
409,BLR,Cross Country Skiing,182
410,BLR,Cycling,38
411,BLR,Diving,19
412,BLR,Equestrianism,6
413,BLR,Fencing,24
414,BLR,Figure Skating,10
415,BLR,Football,16
416,BLR,Freestyle Skiing,33
417,BLR,Gymnastics,236
418,BLR,Ice Hockey,69
419,BLR,Judo,24
420,BLR,Modern Pentathlon,14
421,BLR,Nordic Combined,5
422,BLR,Rhythmic Gymnastics,47
423,BLR,Rowing,66
424,BLR,Sailing,19
425,BLR,Shooting,87
426,BLR,Short Track Speed Skating,7
427,BLR,Ski Jumping,12
428,BLR,Speed Skating,24
429,BLR,Swimming,91
430,BLR,Synchronized Swimming,8
431,BLR,Table Tennis,28
432,BLR,Tennis,30
433,BLR,Trampolining,12
434,BLR,Weightlifting,48
435,BLR,Wrestling,67
436,BOH,Art Competitions,1
437,BOH,Athletics,39
438,BOH,Cycling,11
439,BOH,Fencing,51
440,BOH,Gymnastics,7
441,BOH,Rowing,1
442,BOH,Shooting,5
443,BOH,Tennis,28
444,BOH,Wrestling,10
445,BOL,Alpine Skiing,31
446,BOL,Art Competitions,1
447,BOL,Athletics,39
448,BOL,Boxing,1
449,BOL,Canoeing,2
450,BOL,Cycling,10
451,BOL,Diving,2
452,BOL,Equestrianism,3
453,BOL,Fencing,4
454,BOL,Gymnastics,5
455,BOL,Judo,6
456,BOL,Shooting,20
457,BOL,Swimming,23
458,BOL,Tennis,1
459,BOL,Weightlifting,3
460,BOL,Wrestling,1
461,BOT,Athletics,74
462,BOT,Boxing,10
463,BOT,Judo,1
464,BOT,Sailing,1
465,BOT,Swimming,4
466,BRA,Alpine Skiing,33
467,BRA,Archery,21
468,BRA,Art Competitions,1
469,BRA,Athletics,519
470,BRA,Badminton,2
471,BRA,Basketball,255
472,BRA,Beach Volleyball,48
473,BRA,Biathlon,2
474,BRA,Bobsleigh,14
475,BRA,Boxing,80
476,BRA,Canoeing,49
477,BRA,Cross Country Skiing,8
478,BRA,Cycling,95
479,BRA,Diving,46
480,BRA,Equestrianism,170
481,BRA,Fencing,94
482,BRA,Figure Skating,1
483,BRA,Football,306
484,BRA,Freestyle Skiing,1
485,BRA,Golf,3
486,BRA,Gymnastics,201
487,BRA,Handball,144
488,BRA,Hockey,16
489,BRA,Judo,120
490,BRA,Luge,2
491,BRA,Modern Pentathlon,31
492,BRA,Rhythmic Gymnastics,26
493,BRA,Rowing,137
494,BRA,Rugby Sevens,25
495,BRA,Sailing,181
496,BRA,Shooting,122
497,BRA,Snowboarding,3
498,BRA,Swimming,507
499,BRA,Synchronized Swimming,33
500,BRA,Table Tennis,56
501,BRA,Taekwondo,13
502,BRA,Tennis,43
503,BRA,Trampolining,1
504,BRA,Triathlon,20
505,BRA,Volleyball,285
