,Weight,Sport,count
307,51.0,Biathlon,69
308,51.0,Boxing,355
309,51.0,Canoeing,1
310,51.0,Cross Country Skiing,79
311,51.0,Curling,4
312,51.0,Cycling,50
313,51.0,Diving,55
314,51.0,Equestrianism,17
315,51.0,Fencing,30
316,51.0,Figure Skating,39
317,51.0,Football,10
318,51.0,Freestyle Skiing,12
319,51.0,Gymnastics,307
320,51.0,Hockey,12
321,51.0,Ice Hockey,5
322,51.0,Judo,11
323,51.0,Luge,1
324,51.0,Modern Pentathlon,4
325,51.0,Rhythmic Gymnastics,29
326,51.0,Rowing,47
327,51.0,Sailing,4
328,51.0,Shooting,62
329,51.0,Short Track Speed Skating,4
330,51.0,Skeleton,1
331,51.0,Ski Jumping,12
332,51.0,Snowboarding,2
333,51.0,Speed Skating,30
334,51.0,Swimming,93
335,51.0,Synchronized Swimming,33
336,51.0,Table Tennis,15
337,51.0,Taekwondo,3
338,51.0,Tennis,3
339,51.0,Trampolining,7
340,51.0,Triathlon,14
341,51.0,Weightlifting,11
342,51.0,Wrestling,20
343,51.5,Weightlifting,2
344,52.0,Alpine Skiing,37
345,52.0,Archery,25
346,52.0,Athletics,626
347,52.0,Badminton,9
348,52.0,Basketball,1
349,52.0,Biathlon,183
350,52.0,Boxing,59
351,52.0,Canoeing,7
352,52.0,Cross Country Skiing,176
353,52.0,Curling,5
354,52.0,Cycling,74
355,52.0,Diving,96
356,52.0,Equestrianism,57
357,52.0,Fencing,48
358,52.0,Figure Skating,82
359,52.0,Football,30
360,52.0,Freestyle Skiing,15
361,52.0,Golf,1
362,52.0,Gymnastics,653
363,52.0,Handball,3
364,52.0,Hockey,42
365,52.0,Ice Hockey,11
366,52.0,Judo,127
367,52.0,Luge,1
368,52.0,Modern Pentathlon,6
369,52.0,Rhythmic Gymnastics,35
370,52.0,Rowing,70
371,52.0,Sailing,12
372,52.0,Shooting,69
373,52.0,Short Track Speed Skating,46
374,52.0,Skeleton,1
375,52.0,Ski Jumping,7
376,52.0,Snowboarding,18
377,52.0,Softball,7
378,52.0,Speed Skating,45
379,52.0,Swimming,262
380,52.0,Synchronized Swimming,51
381,52.0,Table Tennis,27
382,52.0,Taekwondo,4
383,52.0,Tennis,15
384,52.0,Trampolining,15
385,52.0,Triathlon,11
386,52.0,Volleyball,3
387,52.0,Weightlifting,105
388,52.0,Wrestling,273
389,52.5,Boxing,2
390,52.5,Cross Country Skiing,9
391,52.5,Gymnastics,13
392,52.5,Swimming,2
393,52.5,Weightlifting,2
394,53.0,Alpine Skiing,65
395,53.0,Archery,40
396,53.0,Athletics,492
397,53.0,Badminton,7
398,53.0,Basketball,3
399,53.0,Biathlon,91
400,53.0,Boxing,29
401,53.0,Canoeing,5
402,53.0,Cross Country Skiing,194
403,53.0,Curling,6
404,53.0,Cycling,50
405,53.0,Diving,55
406,53.0,Equestrianism,16
407,53.0,Fencing,49
408,53.0,Figure Skating,45
409,53.0,Football,41
410,53.0,Freestyle Skiing,22
411,53.0,Golf,1
412,53.0,Gymnastics,353
413,53.0,Hockey,61
414,53.0,Ice Hockey,13
415,53.0,Judo,6
416,53.0,Luge,4
417,53.0,Modern Pentathlon,12
418,53.0,Nordic Combined,3
419,53.0,Rhythmic Gymnastics,34
420,53.0,Rowing,24
421,53.0,Rugby Sevens,1
422,53.0,Sailing,14
423,53.0,Shooting,69
424,53.0,Short Track Speed Skating,41
425,53.0,Ski Jumping,16
426,53.0,Snowboarding,13
427,53.0,Softball,5
428,53.0,Speed Skating,23
429,53.0,Swimming,226
430,53.0,Synchronized Swimming,56
431,53.0,Table Tennis,56
432,53.0,Taekwondo,3
433,53.0,Tennis,20
434,53.0,Trampolining,9
435,53.0,Triathlon,29
436,53.0,Volleyball,8
437,53.0,Weightlifting,48
438,53.0,Wrestling,28
439,53.5,Cross Country Skiing,4
440,53.5,Wrestling,2
441,54.0,Alpine Skiing,47
442,54.0,Archery,22
443,54.0,Athletics,751
444,54.0,Badminton,11
445,54.0,Basketball,2
446,54.0,Biathlon,108
447,54.0,Boxing,362
448,54.0,Canoeing,14
449,54.0,Cross Country Skiing,231
450,54.0,Curling,2
451,54.0,Cycling,102
452,54.0,Diving,77
453,54.0,Equestrianism,72
454,54.0,Fencing,79
455,54.0,Figure Skating,35
456,54.0,Football,35
457,54.0,Freestyle Skiing,13
458,54.0,Gymnastics,517
459,54.0,Handball,5
460,54.0,Hockey,64
461,54.0,Ice Hockey,16
462,54.0,Judo,5
463,54.0,Luge,2
464,54.0,Modern Pentathlon,12
465,54.0,Nordic Combined,8
466,54.0,Rhythmic Gymnastics,26
467,54.0,Rowing,25
468,54.0,Rugby Sevens,3
469,54.0,Sailing,30
470,54.0,Shooting,75
471,54.0,Short Track Speed Skating,61
472,54.0,Skeleton,3
473,54.0,Ski Jumping,36
474,54.0,Snowboarding,18
475,54.0,Softball,1
476,54.0,Speed Skating,32
477,54.0,Swimming,286
478,54.0,Synchronized Swimming,93
479,54.0,Table Tennis,68
480,54.0,Taekwondo,2
481,54.0,Tennis,21
482,54.0,Trampolining,7
483,54.0,Triathlon,22
484,54.0,Volleyball,4
485,54.0,Water Polo,1
486,54.0,Weightlifting,31
487,54.0,Wrestling,70
488,54.5,Boxing,6
489,54.5,Cross Country Skiing,9
490,54.5,Weightlifting,9
491,54.5,Wrestling,1
492,55.0,Alpine Skiing,93
493,55.0,Archery,36
494,55.0,Athletics,839
495,55.0,Badminton,59
496,55.0,Basketball,1
497,55.0,Beach Volleyball,6
498,55.0,Biathlon,177
499,55.0,Bobsleigh,5
500,55.0,Boxing,21
501,55.0,Canoeing,27
502,55.0,Cross Country Skiing,293
503,55.0,Curling,7
504,55.0,Cycling,90
505,55.0,Diving,88
506,55.0,Equestrianism,85
507,55.0,Fencing,114
508,55.0,Figure Skating,37
509,55.0,Football,81
510,55.0,Freestyle Skiing,30
511,55.0,Golf,2
512,55.0,Gymnastics,608
513,55.0,Handball,14
514,55.0,Hockey,84
515,55.0,Ice Hockey,13
516,55.0,Judo,6
517,55.0,Luge,3
518,55.0,Modern Pentathlon,12
519,55.0,Nordic Combined,3
520,55.0,Rhythmic Gymnastics,31
521,55.0,Rowing,77
522,55.0,Rugby Sevens,3
523,55.0,Sailing,35
524,55.0,Shooting,114
525,55.0,Short Track Speed Skating,32
526,55.0,Skeleton,7
527,55.0,Ski Jumping,58
528,55.0,Snowboarding,18
529,55.0,Softball,4
530,55.0,Speed Skating,50
531,55.0,Swimming,370
532,55.0,Synchronized Swimming,89
533,55.0,Table Tennis,61
534,55.0,Taekwondo,6
535,55.0,Tennis,57
536,55.0,Trampolining,10
537,55.0,Triathlon,20
538,55.0,Volleyball,14
539,55.0,Water Polo,3
540,55.0,Weightlifting,41
541,55.0,Wrestling,172
542,55.5,Athletics,12
543,55.5,Cross Country Skiing,11
544,55.5,Sailing,2
545,55.5,Shooting,4
546,55.5,Ski Jumping,4
547,55.5,Swimming,6
548,55.5,Weightlifting,8
549,55.5,Wrestling,1
550,56.0,Alpine Skiing,84
551,56.0,Archery,34
552,56.0,Athletics,781
553,56.0,Badminton,35
554,56.0,Basketball,1
555,56.0,Beach Volleyball,3
556,56.0,Biathlon,130
557,56.0,Boxing,73
558,56.0,Canoeing,31
559,56.0,Cross Country Skiing,223
560,56.0,Curling,3
561,56.0,Cycling,95
562,56.0,Diving,71
563,56.0,Equestrianism,96
564,56.0,Fencing,100
565,56.0,Figure Skating,52
566,56.0,Football,85
567,56.0,Freestyle Skiing,25
568,56.0,Golf,2
569,56.0,Gymnastics,698
570,56.0,Handball,10
571,56.0,Hockey,87
572,56.0,Ice Hockey,18
573,56.0,Judo,22
574,56.0,Luge,6
575,56.0,Modern Pentathlon,11
576,56.0,Nordic Combined,4
577,56.0,Rhythmic Gymnastics,24
578,56.0,Rowing,21
579,56.0,Rugby Sevens,2
580,56.0,Sailing,43
581,56.0,Shooting,95
582,56.0,Short Track Speed Skating,54
583,56.0,Skeleton,1
584,56.0,Ski Jumping,43
585,56.0,Snowboarding,17
586,56.0,Softball,6
587,56.0,Speed Skating,92
588,56.0,Swimming,330
589,56.0,Synchronized Swimming,65
590,56.0,Table Tennis,56
591,56.0,Taekwondo,12
592,56.0,Tennis,60
593,56.0,Trampolining,2
594,56.0,Triathlon,28
595,56.0,Volleyball,8
596,56.0,Water Polo,2
597,56.0,Weightlifting,257
598,56.0,Wrestling,31
599,56.5,Equestrianism,2
600,56.5,Freestyle Skiing,3
601,56.5,Ski Jumping,1
602,56.5,Wrestling,2
603,57.0,Alpine Skiing,136
604,57.0,Archery,41
605,57.0,Athletics,929
606,57.0,Badminton,29
607,57.0,Baseball,1
608,57.0,Basketball,9
609,57.0,Beach Volleyball,2
610,57.0,Biathlon,114
611,57.0,Boxing,365
612,57.0,Canoeing,21
613,57.0,Cross Country Skiing,230
614,57.0,Curling,11
615,57.0,Cycling,105
616,57.0,Diving,74
617,57.0,Equestrianism,102
618,57.0,Fencing,102
619,57.0,Figure Skating,23
620,57.0,Football,46
621,57.0,Freestyle Skiing,23
622,57.0,Golf,3
623,57.0,Gymnastics,476
624,57.0,Handball,11
625,57.0,Hockey,106
626,57.0,Ice Hockey,15
627,57.0,Judo,118
628,57.0,Luge,4
629,57.0,Modern Pentathlon,13
630,57.0,Nordic Combined,20
631,57.0,Rhythmic Gymnastics,11
632,57.0,Rowing,75
633,57.0,Rugby Sevens,3
634,57.0,Sailing,57
635,57.0,Shooting,130
636,57.0,Short Track Speed Skating,42
637,57.0,Skeleton,3
638,57.0,Ski Jumping,39
639,57.0,Snowboarding,42
640,57.0,Softball,8
641,57.0,Speed Skating,133
642,57.0,Swimming,431
