,Year,Weight,Sport,count
66,1904,59.0,Athletics,1
67,1904,59.0,Gymnastics,4
68,1904,60.0,Athletics,2
69,1904,60.0,Boxing,4
70,1904,60.0,Football,1
71,1904,60.0,Lacrosse,1
72,1904,61.0,Athletics,7
73,1904,61.0,Boxing,3
74,1904,62.0,Athletics,1
75,1904,64.0,Athletics,4
76,1904,64.0,Lacrosse,1
77,1904,65.0,Athletics,1
78,1904,66.0,Athletics,6
79,1904,66.0,Boxing,1
80,1904,66.0,Swimming,1
81,1904,66.0,Water Polo,1
82,1904,67.0,Athletics,1
83,1904,68.0,Athletics,3
84,1904,69.0,Athletics,1
85,1904,70.0,Athletics,3
86,1904,70.0,Boxing,1
87,1904,70.0,Swimming,5
88,1904,71.0,Athletics,5
89,1904,71.0,Gymnastics,7
90,1904,72.0,Boxing,2
91,1904,73.0,Lacrosse,1
92,1904,74.0,Athletics,8
93,1904,75.0,Athletics,6
94,1904,75.0,Lacrosse,2
95,1904,75.0,Rowing,1
96,1904,75.0,Tug-Of-War,1
97,1904,75.0,Weightlifting,2
98,1904,75.0,Wrestling,1
99,1904,77.0,Athletics,1
100,1904,77.0,Boxing,1
101,1904,77.0,Gymnastics,4
102,1904,78.0,Athletics,1
103,1904,79.0,Athletics,3
104,1904,80.0,Athletics,1
105,1904,81.0,Athletics,2
106,1904,81.0,Tug-Of-War,1
107,1904,82.0,Athletics,2
108,1904,82.0,Boxing,1
109,1904,82.0,Tug-Of-War,1
110,1904,83.0,Athletics,1
111,1904,83.0,Swimming,2
112,1904,86.0,Tennis,2
113,1904,88.0,Athletics,2
114,1904,90.0,Athletics,1
115,1904,92.0,Lacrosse,1
116,1904,94.0,Athletics,1
117,1904,95.0,Athletics,4
118,1904,98.0,Lacrosse,1
119,1904,100.0,Athletics,3
120,1904,100.0,Tug-Of-War,1
121,1904,105.0,Weightlifting,1
122,1904,115.0,Athletics,4
123,1906,52.0,Athletics,3
124,1906,54.0,Athletics,2
125,1906,56.0,Athletics,1
126,1906,57.0,Athletics,1
127,1906,58.0,Athletics,1
128,1906,59.0,Athletics,7
129,1906,59.0,Gymnastics,1
130,1906,60.0,Athletics,5
131,1906,61.0,Athletics,7
132,1906,62.0,Athletics,4
133,1906,63.0,Athletics,3
134,1906,64.0,Athletics,1
135,1906,64.0,Cycling,3
136,1906,65.0,Athletics,1
137,1906,66.0,Athletics,6
138,1906,66.0,Swimming,3
139,1906,67.0,Cycling,5
140,1906,67.0,Fencing,1
141,1906,68.0,Athletics,8
142,1906,70.0,Athletics,3
143,1906,70.0,Swimming,2
144,1906,70.0,Wrestling,1
145,1906,71.0,Athletics,2
146,1906,71.0,Cycling,4
147,1906,72.0,Athletics,5
148,1906,73.0,Athletics,1
149,1906,74.0,Athletics,4
150,1906,75.0,Athletics,6
151,1906,76.0,Athletics,1
152,1906,76.0,Diving,1
153,1906,76.0,Swimming,4
154,1906,77.0,Athletics,15
155,1906,77.0,Fencing,1
156,1906,77.0,Tug-Of-War,1
157,1906,78.0,Athletics,3
158,1906,79.0,Athletics,2
159,1906,79.0,Rowing,2
160,1906,80.0,Athletics,9
161,1906,80.0,Fencing,4
162,1906,80.0,Swimming,2
163,1906,80.0,Tug-Of-War,1
164,1906,81.0,Athletics,8
165,1906,81.0,Tug-Of-War,1
166,1906,81.0,Weightlifting,2
167,1906,82.0,Athletics,7
168,1906,82.0,Gymnastics,3
