,"(1896, '1')","(1896, '2')","(1896, '3')","(1900, '1')","(1900, '2')","(1900, '3')","(1904, '1')","(1904, '2')","(1904, '3')","(1906, '1')","(1906, '2')","(1906, '3')","(1908, '1')","(1908, '2')","(1908, '3')","(1912, '1')","(1912, '2')","(1912, '3')","(1920, '1')","(1920, '2')","(1920, '3')","(1924, '1')","(1924, '2')","(1924, '3')","(1928, '1')","(1928, '2')","(1928, '3')","(1932, '1')","(1932, '2')","(1932, '3')","(1936, '1')","(1936, '2')","(1936, '3')","(1948, '1')","(1948, '2')","(1948, '3')","(1952, '1')","(1952, '2')","(1952, '3')","(1956, '1')","(1956, '2')","(1956, '3')","(1960, '1')","(1960, '2')","(1960, '3')","(1964, '1')","(1964, '2')","(1964, '3')","(1968, '1')","(1968, '2')","(1968, '3')","(1972, '1')","(1972, '2')","(1972, '3')","(1976, '1')","(1976, '2')","(1976, '3')","(1980, '1')","(1980, '2')","(1980, '3')","(1984, '1')","(1984, '2')","(1984, '3')","(1988, '1')","(1988, '2')","(1988, '3')","(1992, '1')","(1992, '2')","(1992, '3')","(1994, '1')","(1994, '2')","(1994, '3')","(1996, '1')","(1996, '2')","(1996, '3')","(1998, '1')","(1998, '2')","(1998, '3')","(2000, '1')","(2000, '2')","(2000, '3')","(2002, '1')","(2002, '2')","(2002, '3')","(2004, '1')","(2004, '2')","(2004, '3')","(2006, '1')","(2006, '2')","(2006, '3')","(2008, '1')","(2008, '2')","(2008, '3')","(2010, '1')","(2010, '2')","(2010, '3')","(2012, '1')","(2012, '2')","(2012, '3')","(2014, '1')","(2014, '2')","(2014, '3')","(2016, '1')","(2016, '2')","(2016, '3')"
1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Shooting,21,POL,Canoeing,24,,,,SCG,Judo,2,,,,PUR,Shooting,2,,,,POR,Cycling,5,,,,PLE,Swimming,2,,,,NRU,Weightlifting,1,,,,MYA,Athletics,2
1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Ski Jumping,12,POL,Cross Country Skiing,27,,,,SCG,Shooting,13,,,,PUR,Swimming,5,,,,POR,Equestrianism,1,,,,PLW,Athletics,2,,,,NZL,Athletics,8,,,,MYA,Judo,1
1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Speed Skating,3,POL,Cycling,10,,,,SCG,Swimming,6,,,,PUR,Weightlifting,2,,,,POR,Fencing,1,,,,PLW,Swimming,1,,,,NZL,Boxing,2,,,,MYA,Shooting,2
1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Swimming,15,POL,Diving,2,,,,SCG,Table Tennis,5,,,,QAT,Athletics,14,,,,POR,Football,17,,,,PLW,Wrestling,2,,,,NZL,Canoeing,9,,,,MYA,Swimming,2
1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Table Tennis,6,POL,Equestrianism,8,,,,SCG,Volleyball,12,,,,QAT,Shooting,1,,,,POR,Gymnastics,7,,,,PNG,Athletics,2,,,,NZL,Cycling,26,,,,NAM,Athletics,4
1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Tennis,9,POL,Fencing,32,,,,SCG,Water Polo,13,,,,QAT,Swimming,1,,,,POR,Judo,4,,,,PNG,Boxing,1,,,,NZL,Equestrianism,11,,,,NAM,Boxing,2
1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Weightlifting,5,POL,Figure Skating,2,,,,SCG,Weightlifting,1,,,,QAT,Table Tennis,1,,,,POR,Sailing,7,,,,PNG,Swimming,4,,,,NZL,Football,31,,,,NAM,Cycling,4
1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Wrestling,9,POL,Football,16,,,,SCG,Wrestling,2,,,,QAT,Weightlifting,2,,,,POR,Shooting,3,,,,PNG,Taekwondo,1,,,,NZL,Hockey,32,,,,NAM,Shooting,1
1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGA,Athletics,4,POL,Ice Hockey,23,,,,SEN,Athletics,8,,,,ROU,Athletics,26,,,,POR,Swimming,13,,,,PNG,Weightlifting,1,,,,NZL,Judo,1,,,,NCA,Athletics,1
1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGA,Boxing,3,POL,Judo,11,,,,SEN,Judo,2,,,,ROU,Boxing,10,,,,POR,Trampolining,1,,,,POL,Archery,12,,,,NZL,Rowing,26,,,,NCA,Shooting,1
