Sport,AFG,AHO,ALB,ALG,AND,ANG,ANT,ANZ,ARG,ARM,ARU,ASA,AUS,AUT,AZE,BAH,BAN,BAR,BDI,BEL,BEN,BER,BHU,BIH,BIZ,BLR,BOH,BOL,BOT,BRA,BRN,BRU,BUL,BUR,CAF,CAM,CAN,CAY,CGO,CHA,CHI,CHN,CIV,CMR,COD,COK,COL,COM,CPV,CRC,CRO,CRT,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,ERI,ESA,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,FSM,GAB,GAM,GBR,GBS,GDR,GEO,GEQ,GER,GHA,GRE,GRN,GUA,GUI,GUM,GUY,HAI,HKG,HON,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,IVB,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KOR,KOS,KSA,KUW,LAO,LAT,LBA,LBR,LCA,LES,LIB,LIE,LTU,LUX,MAD,MAL,MAR,MAS,MAW,MDA,MDV,MEX,MGL,MHL,MKD,MLI,MLT,MNE,MON,MOZ,MRI,MTN,MYA,NAM,NBO,NCA,NED,NEP,NFL,NGR,NIG,NOR,NRU,NZL,OMA,PAK,PAN,PAR,PER,PHI,PLE,PLW,PNG,POL,POR,PRK,PUR,QAT,RHO,ROT,ROU,RSA,RUS,RWA,SAA,SAM,SCG,SEN,SEY,SGP,SKN,SLE,SLO,SMR,SOL,SOM,SRB,SRI,SSD,STP,SUD,SUI,SUR,SVK,SWE,SWZ,SYR,TAN,TCH,TGA,THA,TJK,TKM,TLS,TOG,TPE,TTO,TUN,TUR,TUV,UAE,UAR,UGA,UKR,UNK,URS,URU,USA,UZB,VAN,VEN,VIE,VIN,VNM,WIF,YAR,YEM,YMD,YUG,ZAM,ZIM
Beach Volleyball,,,,,,2.0,,,14.0,,,,36.0,20.0,,,,,,2.0,,,,,,,,,,48.0,,,4.0,,,,26.0,,,,2.0,20.0,,,,,,,,2.0,,,14.0,,18.0,,,,,,2.0,,,18.0,4.0,,,,,10.0,,,,,6.0,,,4.0,,42.0,,14.0,,,,,,,,,,4.0,,,,,,,,,24.0,,,,18.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,2.0,,,,,,28.0,,,,,24.0,,2.0,,,,,,,,,,8.0,8.0,,2.0,2.0,,,,8.0,18.0,,,,,,,,,,,,,,,,,,,24.0,,,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,52.0,,,4.0,,,,,,,,,,
Biathlon,,,,,2.0,,,,40.0,,,,22.0,167.0,,,,,,,,,,8.0,,185.0,,,,2.0,,,139.0,,,,152.0,,,,8.0,129.0,,,,,,,,2.0,9.0,,,,177.0,2.0,,,,,,,,13.0,140.0,,23.0,,175.0,277.0,49.0,,,,106.0,,55.0,,,233.0,,17.0,,,,1.0,,,,,67.0,,,,,,,,,,230.0,,,,162.0,94.0,,6.0,,41.0,,,,,118.0,,,,,,,26.0,,,,,,,26.0,,,6.0,,,,,,,,,,,,,,,,,,,281.0,,2.0,,,,,,,,,,200.0,,,2.0,,,,112.0,,197.0,,,,2.0,,,,,,161.0,,,,4.0,,,,,85.0,,138.0,218.0,,,,72.0,,,,,,,4.0,,,,,,,,171.0,,63.0,,246.0,,,,,,,,,,,26.0,,
Bobsleigh,,4.0,,,,,,,29.0,4.0,,2.0,41.0,198.0,,,,,,56.0,,,,12.0,,,,,,14.0,,,20.0,,,,169.0,,,,,,,,,,,,,,14.0,,,,49.0,,,,,,,,,18.0,,,12.0,,,152.0,72.0,,,,210.0,,48.0,,,182.0,,10.0,,,,,,,,,19.0,,,,,16.0,,,,38.0,230.0,,30.0,,92.0,,,,,18.0,,,,,74.0,,,,,,6.0,,9.0,,,,,,,,19.0,,,,,,,35.0,,,,,,,,43.0,,,,,44.0,,18.0,,,,,,,,,,42.0,8.0,,16.0,,,,155.0,,84.0,,,,4.0,,,,,,,2.0,,,6.0,,,,,242.0,,22.0,75.0,,,,28.0,,,,,,,34.0,7.0,,,,,,,14.0,,24.0,,266.0,,,,,,,,,,,22.0,,
Boxing,5.0,,,69.0,1.0,7.0,2.0,1.0,133.0,18.0,2.0,5.0,125.0,37.0,37.0,7.0,,9.0,,57.0,13.0,4.0,,,1.0,22.0,,1.0,10.0,80.0,,,99.0,4.0,6.0,5.0,141.0,,5.0,1.0,38.0,50.0,8.0,42.0,14.0,3.0,47.0,,2.0,3.0,8.0,,126.0,,7.0,84.0,,,51.0,24.0,81.0,,2.0,72.0,4.0,27.0,12.0,5.0,72.0,172.0,37.0,1.0,12.0,1.0,224.0,,45.0,11.0,,108.0,56.0,33.0,9.0,7.0,7.0,1.0,18.0,6.0,2.0,6.0,110.0,21.0,56.0,1.0,55.0,124.0,22.0,,5.0,10.0,175.0,,22.0,5.0,77.0,56.0,62.0,12.0,,110.0,,,3.0,9.0,3.0,,4.0,,10.0,9.0,,18.0,29.0,12.0,,83.0,3.0,16.0,8.0,,97.0,54.0,,,4.0,,2.0,,5.0,14.0,,20.0,13.0,,14.0,65.0,15.0,,73.0,13.0,54.0,,28.0,2.0,48.0,5.0,4.0,8.0,75.0,,,15.0,137.0,1.0,25.0,89.0,2.0,4.0,,115.0,75.0,64.0,,3.0,18.0,1.0,6.0,14.0,1.0,,9.0,,,1.0,,1.0,14.0,,,20.0,38.0,,2.0,77.0,8.0,19.0,36.0,51.0,13.0,83.0,10.0,7.0,,8.0,21.0,5.0,47.0,68.0,,,4.0,71.0,43.0,,96.0,36.0,255.0,50.0,2.0,82.0,2.0,,1.0,,,,2.0,45.0,51.0,11.0
Canoeing,,,,,1.0,6.0,3.0,,49.0,2.0,,,242.0,120.0,7.0,,,,,96.0,,,,3.0,,60.0,,2.0,,49.0,,,133.0,,,,300.0,,,,2.0,111.0,20.0,,,5.0,,,,6.0,26.0,,52.0,,105.0,124.0,,,,2.0,4.0,,,192.0,6.0,,23.0,,100.0,280.0,104.0,,,,262.0,,99.0,1.0,,281.0,,15.0,,1.0,,2.0,,,27.0,,306.0,7.0,,7.0,6.0,48.0,,,15.0,,180.0,,,,98.0,68.0,,4.0,,48.0,,,,,20.0,,,,,1.0,,26.0,19.0,,,3.0,1.0,,8.0,,64.0,,,6.0,,,,,4.0,,,2.0,,,,85.0,,,2.0,,100.0,,75.0,,,1.0,,1.0,,,2.0,,288.0,53.0,,,,,,222.0,40.0,114.0,,5.0,6.0,11.0,6.0,4.0,2.0,,,36.0,,,,31.0,,,3.0,,82.0,,106.0,229.0,,,,169.0,,1.0,,,,3.0,,,8.0,2.0,,,,,63.0,,141.0,4.0,311.0,47.0,,5.0,1.0,,,,,,,48.0,,
Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Country Skiing,,,,2.0,7.0,,,,41.0,22.0,,,61.0,241.0,,,,,,,,2.0,,9.0,,182.0,,,,8.0,,,176.0,,,,371.0,,,,1.0,136.0,,2.0,,,,,,7.0,46.0,,,,206.0,33.0,,1.0,,,,,,108.0,197.0,2.0,40.0,2.0,590.0,383.0,128.0,,,,130.0,,143.0,,,348.0,,50.0,,4.0,,,,,,3.0,51.0,,3.0,,5.0,4.0,,53.0,,,528.0,,,,321.0,240.0,4.0,1.0,,107.0,,,,,61.0,,,,,1.0,46.0,61.0,1.0,,,6.0,,,9.0,,7.0,60.0,,10.0,,,,,,,,,,,,,5.0,,,,578.0,,5.0,,,,,2.0,,,,,288.0,2.0,14.0,,,,,98.0,4.0,255.0,,,,2.0,,,,,,75.0,6.0,,,8.0,,,,,415.0,,96.0,596.0,,,,276.0,,3.0,,,,1.0,7.0,,,67.0,,,,,150.0,,247.0,,538.0,,,,,,,,,,,134.0,,
Curling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,17.0,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,9.0,14.0,,,,,52.0,,,,,40.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,29.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,5.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,43.0,,,51.0,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,
Cycling,,,1.0,6.0,5.0,,17.0,,179.0,1.0,3.0,,428.0,214.0,6.0,2.0,,24.0,,340.0,2.0,4.0,,,27.0,38.0,11.0,10.0,,95.0,7.0,,81.0,,7.0,8.0,322.0,31.0,,,88.0,96.0,,28.0,18.0,,193.0,,,20.0,8.0,,70.0,4.0,76.0,323.0,,,1.0,26.0,13.0,2.0,17.0,232.0,31.0,56.0,21.0,1.0,123.0,679.0,93.0,,,,634.0,,74.0,1.0,,416.0,,82.0,,35.0,,18.0,16.0,,54.0,,121.0,12.0,40.0,8.0,70.0,73.0,3.0,,4.0,2.0,447.0,,35.0,,170.0,41.0,1.0,5.0,,113.0,1.0,14.0,,1.0,62.0,14.0,,,1.0,13.0,14.0,81.0,72.0,1.0,,20.0,51.0,17.0,12.0,,141.0,24.0,,,,18.0,,1.0,,2.0,,,10.0,,10.0,473.0,,,,,152.0,,230.0,1.0,31.0,,,26.0,27.0,,,,242.0,38.0,3.0,5.0,,,,35.0,136.0,174.0,6.0,,1.0,1.0,,,,,1.0,36.0,16.0,,,6.0,1.0,,,,290.0,3.0,45.0,238.0,,1.0,,173.0,,50.0,,,1.0,5.0,41.0,47.0,10.0,40.0,,16.0,,2.0,101.0,,151.0,103.0,523.0,5.0,,104.0,1.0,,31.0,3.0,,,,82.0,,9.0
Diving,,,,,,,,1.0,9.0,3.0,,,152.0,75.0,2.0,1.0,,1.0,,12.0,,4.0,,,,19.0,,2.0,,46.0,,,5.0,,,,156.0,,,,4.0,112.0,,,,,24.0,,,2.0,1.0,,33.0,,1.0,29.0,,,5.0,2.0,30.0,,,37.0,,,8.0,,49.0,80.0,39.0,,,,221.0,,43.0,3.0,,159.0,,26.0,,,,,,,7.0,,39.0,4.0,2.0,,1.0,2.0,,,3.0,,100.0,,2.0,,92.0,13.0,,,,27.0,,,8.0,,,,,,,,,,,,,,36.0,,,,164.0,,,,,,,,,,,,,,,35.0,,,,,24.0,,6.0,,,,,3.0,4.0,,,,21.0,1.0,31.0,14.0,,1.0,,23.0,7.0,77.0,,,,2.0,,,,,,,,,,,2.0,,,,22.0,,,153.0,,2.0,,19.0,,6.0,2.0,,,,6.0,,,2.0,,,4.0,,63.0,,100.0,1.0,278.0,,,18.0,,,,,,,,2.0,,17.0
Equestrianism,,2.0,,,,,,,156.0,,,,231.0,110.0,2.0,,,,,206.0,,11.0,,,,6.0,,3.0,,170.0,,,75.0,,,2.0,260.0,,,,51.0,11.0,,,,,19.0,,,,2.0,,,,2.0,140.0,,,1.0,3.0,19.0,,,203.0,,,15.0,,57.0,463.0,107.0,,,,378.0,,28.0,,,301.0,,12.0,,6.0,,,,,6.0,,84.0,,10.0,,1.0,183.0,,,,4.0,293.0,,2.0,4.0,199.0,,,,,54.0,,28.0,,,,,,,,,1.0,,,,,2.0,,,,,185.0,,,,,,,,,,,,,,,248.0,,,,,60.0,,121.0,,,,,2.0,3.0,1.0,,,128.0,116.0,,7.0,8.0,,,57.0,5.0,35.0,,,,,,,,,,,,,,,,,,,276.0,,,391.0,,1.0,,57.0,,2.0,,,,,1.0,,,39.0,,1.0,6.0,,26.0,,162.0,9.0,456.0,,,10.0,,,,,,,,7.0,,1.0
Fencing,,4.0,,21.0,,,,,239.0,,2.0,,147.0,215.0,4.0,,,,,344.0,1.0,,,,,24.0,51.0,4.0,,94.0,7.0,,46.0,1.0,,,258.0,,1.0,,45.0,227.0,1.0,,,,62.0,,,2.0,1.0,,180.0,,3.0,229.0,,,,,181.0,,,140.0,31.0,,32.0,,61.0,982.0,153.0,,,,590.0,,50.0,2.0,,382.0,,149.0,,7.0,,,,5.0,68.0,1.0,628.0,11.0,,2.0,56.0,53.0,,,21.0,5.0,736.0,,,2.0,169.0,10.0,,2.0,,198.0,,12.0,57.0,,1.0,,,,,55.0,,,58.0,,,30.0,4.0,,,,127.0,,,,,,,7.0,,,,,,,,252.0,,,,,104.0,,8.0,,,3.0,9.0,8.0,2.0,,,,414.0,113.0,,13.0,1.0,,,311.0,33.0,218.0,,15.0,,2.0,6.0,,4.0,,,,,,,,,,,,238.0,,,246.0,,,,108.0,,19.0,,,,,9.0,,27.0,35.0,,,9.0,,91.0,,279.0,45.0,690.0,3.0,,90.0,5.0,,8.0,,,,,25.0,1.0,
Figure Skating,,,,,,,,,1.0,9.0,,,39.0,101.0,11.0,,,,,23.0,,,,,,10.0,,,,1.0,,,18.0,,,,228.0,,,,,70.0,,,,,,,,,5.0,,,,25.0,7.0,,,,,,,,11.0,16.0,,17.0,,29.0,130.0,45.0,,,,174.0,,45.0,7.0,,109.0,,,,,,,,,,,61.0,,,,,,,,17.0,,90.0,,,,91.0,11.0,,,,24.0,,,,,9.0,,,,,,,12.0,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,8.0,,,,,25.0,,,,,,,,1.0,,,,33.0,,13.0,,,,,15.0,6.0,106.0,,,,1.0,,,,,,7.0,,,,,,,,,59.0,,6.0,30.0,,,,61.0,,,,,,,4.0,,,4.0,,,,,61.0,,94.0,,293.0,15.0,,,,,,,,,,4.0,,
Football,11.0,11.0,,32.0,,,,,142.0,,,,161.0,50.0,,,,,,67.0,,,,,,16.0,,,,306.0,,,69.0,,,,95.0,,,,53.0,129.0,16.0,67.0,,,120.0,,,47.0,,,29.0,,16.0,151.0,,,,,142.0,,18.0,164.0,11.0,,,16.0,51.0,212.0,51.0,,15.0,,161.0,,51.0,,,193.0,98.0,78.0,,53.0,15.0,,,,,68.0,132.0,13.0,51.0,,48.0,23.0,80.0,,32.0,,240.0,,,,220.0,,,,,156.0,,30.0,51.0,,11.0,,,,,,,11.0,67.0,,,110.0,15.0,,,,184.0,,,,16.0,,,,,,,13.0,,,,111.0,,,163.0,,118.0,,80.0,,,,34.0,31.0,,,,,106.0,65.0,46.0,,31.0,,,40.0,66.0,15.0,,,,17.0,17.0,,,,,,,,,15.0,,,,14.0,43.0,,18.0,241.0,,15.0,,84.0,,28.0,,,,,13.0,,65.0,71.0,,18.0,17.0,,,,102.0,47.0,301.0,,,16.0,,,,,,,,160.0,32.0,17.0
Freestyle Skiing,,,,,,,,,3.0,1.0,,,60.0,25.0,,,,,,1.0,,,,,,33.0,,,,1.0,,,,,,,103.0,,,,2.0,39.0,,,,,,,,,,,,,19.0,3.0,,,,,,,,7.0,,,8.0,,34.0,63.0,,,,,22.0,,,,,29.0,,,,,,,,,,,,,,,,,,,,,26.0,1.0,1.0,,47.0,22.0,,,,7.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,29.0,,10.0,,,,1.0,,,,,,2.0,1.0,,2.0,,,,1.0,,72.0,,,,,,,,,,9.0,,,,,,,,,61.0,,2.0,47.0,,,,,,,,,,,,,,,,,,,31.0,,,,105.0,4.0,,,,,,,,,,,,
Golf,,,,,,,,,2.0,,,,4.0,2.0,,,1.0,,,3.0,,,,,,,,,,3.0,,,,,,,7.0,,,,1.0,4.0,,,,,1.0,,,,,,,,1.0,4.0,,,,,,,,4.0,,,,,4.0,11.0,,,,,11.0,,,,,4.0,,1.0,,,,,,,1.0,,,,3.0,,,4.0,,,1.0,,4.0,,,,4.0,,,,,6.0,,,,,,,,,,,,,,,,1.0,4.0,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,3.0,,3.0,,,,2.0,,1.0,,,,,2.0,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,4.0,,,,,4.0,,,,,,,,,,,,116.0,,,1.0,,,,,,,,,,
