,Age,Sport,count
337,20.0,Wrestling,281
338,21.0,Alpine Skiing,973
339,21.0,Archery,149
340,21.0,Art Competitions,2
341,21.0,Athletics,2866
342,21.0,Badminton,101
343,21.0,Baseball,69
344,21.0,Basketball,339
345,21.0,Beach Volleyball,8
346,21.0,Biathlon,258
347,21.0,Bobsleigh,68
348,21.0,Boxing,646
349,21.0,Canoeing,466
350,21.0,Cricket,1
351,21.0,Cross Country Skiing,507
352,21.0,Curling,11
353,21.0,Cycling,1001
354,21.0,Diving,269
355,21.0,Equestrianism,102
356,21.0,Fencing,429
357,21.0,Figure Skating,197
358,21.0,Football,774
359,21.0,Freestyle Skiing,75
360,21.0,Golf,10
361,21.0,Gymnastics,2073
362,21.0,Handball,201
363,21.0,Hockey,310
364,21.0,Ice Hockey,355
365,21.0,Jeu De Paume,1
366,21.0,Judo,250
367,21.0,Lacrosse,2
368,21.0,Luge,136
369,21.0,Military Ski Patrol,4
370,21.0,Modern Pentathlon,97
371,21.0,Nordic Combined,118
372,21.0,Polo,1
373,21.0,Racquets,2
374,21.0,Rhythmic Gymnastics,55
375,21.0,Rowing,811
376,21.0,Rugby,15
377,21.0,Rugby Sevens,10
378,21.0,Sailing,208
379,21.0,Shooting,251
380,21.0,Short Track Speed Skating,145
381,21.0,Skeleton,7
382,21.0,Ski Jumping,232
383,21.0,Snowboarding,59
384,21.0,Softball,26
385,21.0,Speed Skating,506
386,21.0,Swimming,2345
387,21.0,Synchronized Swimming,115
388,21.0,Table Tennis,111
389,21.0,Taekwondo,51
390,21.0,Tennis,174
391,21.0,Trampolining,4
392,21.0,Triathlon,22
393,21.0,Tug-Of-War,6
394,21.0,Volleyball,232
395,21.0,Water Polo,253
396,21.0,Weightlifting,248
397,21.0,Wrestling,407
398,22.0,Alpine Skiing,849
399,22.0,Alpinism,1
400,22.0,Archery,135
401,22.0,Art Competitions,19
402,22.0,Athletics,3317
403,22.0,Badminton,110
404,22.0,Baseball,65
405,22.0,Basketball,400
406,22.0,Beach Volleyball,14
407,22.0,Biathlon,305
408,22.0,Bobsleigh,94
409,22.0,Boxing,728
410,22.0,Canoeing,493
411,22.0,Croquet,2
412,22.0,Cross Country Skiing,707
413,22.0,Curling,13
414,22.0,Cycling,956
415,22.0,Diving,243
416,22.0,Equestrianism,114
417,22.0,Fencing,591
418,22.0,Figure Skating,202
419,22.0,Football,1023
420,22.0,Freestyle Skiing,73
421,22.0,Golf,15
422,22.0,Gymnastics,2016
423,22.0,Handball,255
424,22.0,Hockey,387
425,22.0,Ice Hockey,456
426,22.0,Judo,308
427,22.0,Lacrosse,2
428,22.0,Luge,146
429,22.0,Military Ski Patrol,2
