,Height,Sport,count
499,160.0,Shooting,151
500,160.0,Short Track Speed Skating,94
501,160.0,Skeleton,7
502,160.0,Ski Jumping,7
503,160.0,Snowboarding,32
504,160.0,Softball,23
505,160.0,Speed Skating,125
506,160.0,Swimming,240
507,160.0,Synchronized Swimming,33
508,160.0,Table Tennis,76
509,160.0,Taekwondo,7
510,160.0,Tennis,13
511,160.0,Trampolining,4
512,160.0,Triathlon,19
513,160.0,Volleyball,3
514,160.0,Water Polo,1
515,160.0,Weightlifting,211
516,160.0,Wrestling,223
517,161.0,Alpine Skiing,68
518,161.0,Archery,17
519,161.0,Athletics,146
520,161.0,Badminton,19
521,161.0,Basketball,1
522,161.0,Biathlon,74
523,161.0,Bobsleigh,2
524,161.0,Boxing,48
525,161.0,Canoeing,18
526,161.0,Cross Country Skiing,98
527,161.0,Curling,3
528,161.0,Cycling,26
529,161.0,Diving,14
530,161.0,Equestrianism,10
531,161.0,Fencing,34
532,161.0,Figure Skating,24
533,161.0,Football,29
534,161.0,Freestyle Skiing,8
535,161.0,Gymnastics,535
536,161.0,Handball,3
537,161.0,Hockey,63
538,161.0,Ice Hockey,14
539,161.0,Judo,38
540,161.0,Luge,2
541,161.0,Modern Pentathlon,1
542,161.0,Rhythmic Gymnastics,9
543,161.0,Rowing,15
544,161.0,Rugby Sevens,2
545,161.0,Sailing,16
546,161.0,Shooting,56
547,161.0,Short Track Speed Skating,31
548,161.0,Ski Jumping,2
549,161.0,Snowboarding,15
550,161.0,Softball,5
551,161.0,Speed Skating,28
552,161.0,Swimming,112
553,161.0,Synchronized Swimming,6
554,161.0,Table Tennis,18
555,161.0,Taekwondo,3
556,161.0,Tennis,9
557,161.0,Trampolining,4
558,161.0,Triathlon,9
559,161.0,Volleyball,3
560,161.0,Water Polo,2
561,161.0,Weightlifting,36
562,161.0,Wrestling,77
563,162.0,Alpine Skiing,149
564,162.0,Archery,49
565,162.0,Athletics,469
566,162.0,Badminton,28
567,162.0,Basketball,9
568,162.0,Biathlon,105
569,162.0,Bobsleigh,5
570,162.0,Boxing,121
571,162.0,Canoeing,38
572,162.0,Cross Country Skiing,270
573,162.0,Curling,10
574,162.0,Cycling,80
575,162.0,Diving,90
576,162.0,Equestrianism,94
577,162.0,Fencing,82
578,162.0,Figure Skating,76
579,162.0,Football,59
580,162.0,Freestyle Skiing,35
581,162.0,Gymnastics,942
582,162.0,Handball,13
583,162.0,Hockey,61
584,162.0,Ice Hockey,25
585,162.0,Judo,71
586,162.0,Luge,11
587,162.0,Nordic Combined,5
588,162.0,Rhythmic Gymnastics,33
589,162.0,Rowing,24
590,162.0,Rugby Sevens,8
591,162.0,Sailing,22
592,162.0,Shooting,165
593,162.0,Short Track Speed Skating,35
594,162.0,Skeleton,1
595,162.0,Ski Jumping,33
596,162.0,Snowboarding,21
597,162.0,Softball,11
598,162.0,Speed Skating,122
599,162.0,Swimming,205
600,162.0,Synchronized Swimming,35
601,162.0,Table Tennis,69
602,162.0,Taekwondo,5
603,162.0,Tennis,16
604,162.0,Trampolining,8
605,162.0,Triathlon,8
606,162.0,Volleyball,5
607,162.0,Water Polo,3
608,162.0,Weightlifting,108
609,162.0,Wrestling,159
610,163.0,Alpine Skiing,172
611,163.0,Archery,40
612,163.0,Art Competitions,1
613,163.0,Athletics,593
614,163.0,Badminton,51
615,163.0,Baseball,1
616,163.0,Basketball,2
617,163.0,Beach Volleyball,1
618,163.0,Biathlon,147
619,163.0,Bobsleigh,1
620,163.0,Boxing,139
621,163.0,Canoeing,41
622,163.0,Cross Country Skiing,168
623,163.0,Curling,10
624,163.0,Cycling,97
625,163.0,Diving,91
626,163.0,Equestrianism,86
627,163.0,Fencing,58
628,163.0,Figure Skating,45
629,163.0,Football,63
630,163.0,Freestyle Skiing,22
631,163.0,Golf,7
632,163.0,Gymnastics,1053
633,163.0,Handball,22
634,163.0,Hockey,108
635,163.0,Ice Hockey,72
636,163.0,Judo,69
637,163.0,Luge,13
638,163.0,Modern Pentathlon,9
639,163.0,Rhythmic Gymnastics,30
640,163.0,Rowing,33
641,163.0,Rugby Sevens,8
642,163.0,Sailing,29
643,163.0,Shooting,165
644,163.0,Short Track Speed Skating,88
645,163.0,Skeleton,4
646,163.0,Ski Jumping,6
647,163.0,Snowboarding,23
648,163.0,Softball,17
649,163.0,Speed Skating,92
650,163.0,Swimming,254
651,163.0,Synchronized Swimming,37
652,163.0,Table Tennis,61
653,163.0,Taekwondo,12
654,163.0,Tennis,18
655,163.0,Trampolining,8
656,163.0,Triathlon,14
657,163.0,Volleyball,5
658,163.0,Water Polo,6
659,163.0,Weightlifting,102
660,163.0,Wrestling,153
661,164.0,Alpine Skiing,177
662,164.0,Archery,76
663,164.0,Art Competitions,2
664,164.0,Athletics,483
665,164.0,Badminton,36
666,164.0,Basketball,4
667,164.0,Biathlon,106
668,164.0,Bobsleigh,2
669,164.0,Boxing,108
670,164.0,Canoeing,51
671,164.0,Cross Country Skiing,199
672,164.0,Curling,13
673,164.0,Cycling,95
674,164.0,Diving,78
675,164.0,Equestrianism,50
676,164.0,Fencing,99
677,164.0,Figure Skating,53
678,164.0,Football,74
679,164.0,Freestyle Skiing,33
680,164.0,Golf,2
681,164.0,Gymnastics,838
682,164.0,Handball,10
683,164.0,Hockey,116
684,164.0,Ice Hockey,36
685,164.0,Judo,71
686,164.0,Luge,23
687,164.0,Modern Pentathlon,9
688,164.0,Nordic Combined,8
689,164.0,Rhythmic Gymnastics,48
690,164.0,Rowing,24
691,164.0,Rugby,1
692,164.0,Rugby Sevens,4
693,164.0,Sailing,51
694,164.0,Shooting,142
695,164.0,Short Track Speed Skating,43
696,164.0,Skeleton,7
697,164.0,Ski Jumping,18
698,164.0,Snowboarding,26
699,164.0,Softball,6
700,164.0,Speed Skating,100
701,164.0,Swimming,191
702,164.0,Synchronized Swimming,49
703,164.0,Table Tennis,47
704,164.0,Taekwondo,15
705,164.0,Tennis,40
706,164.0,Trampolining,3
707,164.0,Triathlon,14
708,164.0,Volleyball,6
709,164.0,Water Polo,4
710,164.0,Weightlifting,89
711,164.0,Wrestling,131
712,165.0,Alpine Skiing,303
713,165.0,Archery,88
714,165.0,Athletics,1081
715,165.0,Badminton,50
716,165.0,Baseball,5
717,165.0,Basketball,24
718,165.0,Beach Volleyball,5
719,165.0,Biathlon,173
720,165.0,Bobsleigh,9
721,165.0,Boxing,266
722,165.0,Canoeing,123
723,165.0,Cross Country Skiing,356
724,165.0,Curling,18
725,165.0,Cycling,240
726,165.0,Diving,122
727,165.0,Equestrianism,139
728,165.0,Fencing,170
729,165.0,Figure Skating,107
730,165.0,Football,142
731,165.0,Freestyle Skiing,47
732,165.0,Golf,8
733,165.0,Gymnastics,1105
734,165.0,Handball,34
735,165.0,Hockey,205
736,165.0,Ice Hockey,65
737,165.0,Judo,131
738,165.0,Luge,39
739,165.0,Modern Pentathlon,15
740,165.0,Nordic Combined,28
741,165.0,Rhythmic Gymnastics,33
