,Year,Height,Sport,count
62,1900,191.0,Tennis,3
63,1904,155.0,Athletics,1
64,1904,160.0,Athletics,3
65,1904,160.0,Boxing,1
66,1904,160.0,Gymnastics,4
67,1904,160.0,Wrestling,1
68,1904,163.0,Cycling,4
69,1904,165.0,Archery,2
70,1904,165.0,Gymnastics,7
71,1904,167.0,Athletics,4
72,1904,167.0,Golf,2
73,1904,168.0,Athletics,4
74,1904,168.0,Gymnastics,11
75,1904,168.0,Lacrosse,1
76,1904,169.0,Archery,3
77,1904,170.0,Athletics,2
78,1904,170.0,Gymnastics,10
79,1904,170.0,Tug-Of-War,1
80,1904,170.0,Weightlifting,2
81,1904,170.0,Wrestling,1
82,1904,171.0,Athletics,3
83,1904,171.0,Swimming,3
84,1904,172.0,Athletics,4
85,1904,172.0,Cycling,1
86,1904,173.0,Athletics,4
87,1904,173.0,Cycling,1
88,1904,173.0,Swimming,1
89,1904,173.0,Water Polo,1
90,1904,173.0,Wrestling,1
91,1904,174.0,Archery,3
92,1904,175.0,Athletics,4
93,1904,175.0,Gymnastics,14
94,1904,176.0,Athletics,8
95,1904,176.0,Weightlifting,1
96,1904,178.0,Athletics,7
97,1904,178.0,Golf,4
98,1904,178.0,Gymnastics,4
99,1904,179.0,Athletics,1
100,1904,180.0,Athletics,12
101,1904,180.0,Fencing,3
102,1904,180.0,Golf,2
103,1904,180.0,Gymnastics,7
104,1904,180.0,Lacrosse,1
105,1904,180.0,Wrestling,1
106,1904,181.0,Cycling,7
107,1904,182.0,Athletics,3
108,1904,183.0,Athletics,4
109,1904,183.0,Fencing,5
110,1904,183.0,Swimming,5
111,1904,183.0,Tennis,2
112,1904,184.0,Athletics,1
113,1904,185.0,Athletics,11
114,1904,185.0,Cycling,2
115,1904,185.0,Tug-Of-War,1
116,1904,187.0,Athletics,4
117,1904,187.0,Swimming,2
118,1904,187.0,Tug-Of-War,1
119,1904,188.0,Boxing,1
120,1904,189.0,Athletics,2
121,1904,189.0,Tug-Of-War,1
122,1904,190.0,Athletics,2
123,1904,195.0,Athletics,4
124,1906,165.0,Athletics,4
125,1906,165.0,Swimming,3
126,1906,166.0,Athletics,2
127,1906,167.0,Athletics,6
128,1906,167.0,Gymnastics,2
129,1906,168.0,Athletics,2
130,1906,168.0,Shooting,18
131,1906,169.0,Athletics,2
132,1906,170.0,Athletics,6
133,1906,170.0,Diving,1
134,1906,170.0,Fencing,1
135,1906,170.0,Gymnastics,1
136,1906,170.0,Swimming,3
137,1906,170.0,Tug-Of-War,1
138,1906,170.0,Weightlifting,4
139,1906,172.0,Athletics,3
140,1906,173.0,Athletics,5
141,1906,173.0,Cycling,3
142,1906,173.0,Gymnastics,1
143,1906,174.0,Fencing,3
144,1906,174.0,Swimming,2
145,1906,175.0,Athletics,12
146,1906,175.0,Shooting,20
147,1906,175.0,Weightlifting,2
148,1906,176.0,Athletics,1
149,1906,177.0,Athletics,7
150,1906,177.0,Cycling,5
151,1906,177.0,Tug-Of-War,2
152,1906,177.0,Weightlifting,2
153,1906,178.0,Athletics,4
154,1906,178.0,Diving,1
155,1906,178.0,Tug-Of-War,1
156,1906,178.0,Wrestling,3
157,1906,179.0,Athletics,6
158,1906,180.0,Athletics,12
159,1906,180.0,Swimming,3
160,1906,181.0,Fencing,1
161,1906,182.0,Athletics,11
162,1906,182.0,Tug-Of-War,3
163,1906,182.0,Wrestling,1
164,1906,183.0,Athletics,12
165,1906,183.0,Cycling,4
166,1906,183.0,Fencing,2
167,1906,183.0,Swimming,2
