Biathlon,,,,,,,,7.0,44.0,81.0,163.0,258.0,305.0,395.0,468.0,453.0,444.0,383.0,440.0,319.0,255.0,210.0,237.0,111.0,102.0,68.0,52.0,19.0,42.0,19.0,11.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobsleigh,,,,,,1.0,1.0,,5.0,19.0,45.0,68.0,94.0,147.0,183.0,221.0,272.0,244.0,249.0,236.0,188.0,157.0,156.0,134.0,101.0,103.0,79.0,53.0,46.0,59.0,24.0,19.0,16.0,14.0,9.0,6.0,13.0,5.0,5.0,8.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,,,,,,5.0,16.0,108.0,229.0,435.0,650.0,646.0,728.0,620.0,527.0,478.0,368.0,288.0,215.0,150.0,101.0,57.0,54.0,26.0,12.0,5.0,6.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canoeing,,,,,,1.0,8.0,42.0,127.0,241.0,335.0,466.0,493.0,552.0,563.0,534.0,462.0,446.0,413.0,333.0,273.0,213.0,181.0,118.0,108.0,71.0,55.0,30.0,20.0,11.0,14.0,4.0,6.0,7.0,2.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cricket,,,,,,,,,,,,1.0,,,5.0,1.0,2.0,,,1.0,,2.0,1.0,1.0,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croquet,,,,,,2.0,,,,,1.0,,2.0,,,,,,,,2.0,,,2.0,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Country Skiing,,,,,,2.0,21.0,50.0,120.0,226.0,328.0,507.0,707.0,841.0,857.0,794.0,781.0,730.0,716.0,549.0,508.0,376.0,298.0,244.0,149.0,80.0,76.0,57.0,30.0,15.0,14.0,9.0,,7.0,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curling,,,,,,,,3.0,1.0,7.0,4.0,11.0,13.0,24.0,18.0,30.0,22.0,28.0,25.0,25.0,25.0,14.0,20.0,18.0,23.0,24.0,14.0,16.0,20.0,17.0,6.0,8.0,9.0,8.0,8.0,6.0,3.0,2.0,3.0,3.0,2.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cycling,,,,,2.0,2.0,27.0,64.0,216.0,498.0,795.0,1001.0,956.0,1051.0,942.0,858.0,649.0,646.0,533.0,401.0,342.0,350.0,238.0,163.0,131.0,106.0,55.0,56.0,33.0,35.0,10.0,6.0,5.0,5.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diving,,,1.0,9.0,24.0,52.0,78.0,167.0,190.0,216.0,216.0,269.0,243.0,223.0,200.0,200.0,151.0,143.0,91.0,77.0,55.0,41.0,27.0,12.0,11.0,7.0,6.0,4.0,2.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equestrianism,,,,,,,2.0,1.0,17.0,33.0,77.0,102.0,114.0,142.0,176.0,228.0,208.0,234.0,281.0,289.0,341.0,298.0,267.0,294.0,274.0,271.0,274.0,231.0,203.0,184.0,226.0,167.0,147.0,154.0,139.0,132.0,89.0,98.0,80.0,79.0,52.0,36.0,49.0,38.0,25.0,10.0,19.0,12.0,15.0,2.0,10.0,9.0,2.0,6.0,,3.0,2.0,3.0,,3.0,,1.0,2.0,,,,,,,,,,,
Fencing,,,,,1.0,7.0,17.0,58.0,92.0,226.0,319.0,429.0,591.0,653.0,641.0,696.0,658.0,608.0,632.0,607.0,482.0,499.0,398.0,361.0,323.0,277.0,227.0,187.0,172.0,163.0,120.0,97.0,125.0,83.0,66.0,58.0,23.0,22.0,29.0,24.0,9.0,12.0,6.0,7.0,4.0,1.0,,4.0,,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
Figure Skating,,7.0,8.0,11.0,23.0,65.0,125.0,123.0,147.0,201.0,192.0,197.0,202.0,171.0,156.0,147.0,129.0,79.0,67.0,60.0,55.0,24.0,8.0,12.0,17.0,9.0,6.0,3.0,7.0,6.0,1.0,3.0,3.0,1.0,3.0,1.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Football,,,,,,5.0,9.0,54.0,123.0,319.0,537.0,774.0,1023.0,841.0,496.0,432.0,418.0,327.0,305.0,220.0,176.0,123.0,83.0,45.0,30.0,10.0,9.0,2.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freestyle Skiing,,,,1.0,,5.0,13.0,21.0,40.0,52.0,57.0,75.0,73.0,89.0,90.0,68.0,71.0,62.0,53.0,38.0,36.0,33.0,13.0,13.0,11.0,3.0,6.0,6.0,,1.0,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golf,,,,,,1.0,,6.0,7.0,4.0,14.0,10.0,15.0,11.0,8.0,9.0,13.0,9.0,14.0,10.0,12.0,13.0,3.0,3.0,9.0,6.0,5.0,11.0,7.0,4.0,3.0,6.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
