Canoeing,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,3.0,8.0,3.0,7.0,8.0,8.0,50.0,18.0,38.0,41.0,51.0,123.0,54.0,107.0,148.0,119.0,240.0,75.0,194.0,207.0,178.0,296.0,208.0,144.0,401.0,186.0,385.0,150.0,281.0,269.0,197.0,239.0,196.0,149.0,163.0,78.0,160.0,94.0,82.0,63.0,28.0,28.0,26.0,10.0,17.0,1.0,3.0,7.0,4.0,8.0,,1.0,,,,,,,,,,,,,,,,,,
Cross Country Skiing,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,2.0,7.0,16.0,13.0,9.0,50.0,140.0,39.0,175.0,98.0,270.0,168.0,199.0,356.0,147.0,322.0,402.0,186.0,505.0,144.0,303.0,286.0,300.0,441.0,322.0,218.0,467.0,134.0,436.0,165.0,216.0,303.0,121.0,239.0,103.0,64.0,96.0,42.0,54.0,16.0,14.0,24.0,25.0,1.0,1.0,14.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Curling,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,3.0,2.0,4.0,3.0,5.0,4.0,2.0,10.0,3.0,10.0,10.0,13.0,18.0,5.0,10.0,17.0,19.0,30.0,7.0,11.0,15.0,10.0,24.0,6.0,18.0,20.0,19.0,30.0,8.0,10.0,27.0,14.0,22.0,5.0,11.0,8.0,8.0,,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycling,,,,,,,,1.0,,3.0,,,,,,,,1.0,,1.0,1.0,9.0,,,1.0,6.0,15.0,16.0,24.0,31.0,24.0,106.0,26.0,80.0,97.0,95.0,240.0,97.0,180.0,296.0,125.0,471.0,208.0,332.0,382.0,285.0,530.0,336.0,312.0,510.0,267.0,618.0,246.0,344.0,391.0,157.0,300.0,181.0,128.0,162.0,77.0,92.0,40.0,32.0,37.0,11.0,11.0,19.0,6.0,7.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,
Diving,,,,,,,,,2.0,,,,,5.0,,,,,9.0,4.0,6.0,16.0,6.0,28.0,19.0,20.0,64.0,53.0,55.0,57.0,46.0,130.0,14.0,90.0,91.0,78.0,122.0,64.0,104.0,131.0,52.0,186.0,44.0,87.0,75.0,70.0,110.0,32.0,25.0,59.0,18.0,41.0,12.0,8.0,23.0,3.0,7.0,5.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equestrianism,,,,,,,,,,,,,,,,,,,,2.0,,2.0,3.0,20.0,3.0,3.0,8.0,19.0,13.0,21.0,20.0,59.0,10.0,94.0,86.0,50.0,139.0,66.0,134.0,271.0,119.0,313.0,163.0,305.0,231.0,179.0,310.0,216.0,133.0,293.0,79.0,305.0,98.0,153.0,164.0,66.0,111.0,94.0,46.0,38.0,24.0,81.0,10.0,6.0,13.0,6.0,12.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fencing,,,,,,,,,,,,,,,,,,,,,,,,21.0,8.0,3.0,11.0,10.0,26.0,34.0,17.0,89.0,34.0,82.0,58.0,99.0,170.0,91.0,118.0,254.0,151.0,415.0,120.0,216.0,256.0,267.0,376.0,245.0,184.0,496.0,143.0,544.0,155.0,335.0,385.0,192.0,275.0,187.0,103.0,209.0,58.0,181.0,67.0,53.0,86.0,20.0,20.0,49.0,8.0,13.0,3.0,14.0,6.0,,,,1.0,,,4.0,,,,,,,,,,,,,,,
Figure Skating,,,,,,,,,2.0,,,,,1.0,2.0,,2.0,2.0,2.0,10.0,5.0,30.0,1.0,43.0,23.0,18.0,44.0,16.0,47.0,39.0,38.0,114.0,24.0,76.0,45.0,53.0,107.0,23.0,54.0,69.0,21.0,85.0,30.0,31.0,56.0,45.0,64.0,40.0,32.0,69.0,21.0,84.0,16.0,42.0,58.0,11.0,20.0,11.0,17.0,16.0,1.0,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Football,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,4.0,7.0,4.0,13.0,19.0,22.0,25.0,14.0,57.0,29.0,59.0,63.0,74.0,142.0,65.0,85.0,162.0,107.0,321.0,121.0,257.0,211.0,195.0,311.0,214.0,155.0,288.0,157.0,319.0,103.0,180.0,161.0,102.0,140.0,95.0,72.0,74.0,49.0,56.0,32.0,26.0,16.0,7.0,10.0,8.0,6.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Freestyle Skiing,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,7.0,1.0,6.0,6.0,27.0,18.0,10.0,36.0,8.0,35.0,22.0,33.0,47.0,26.0,35.0,47.0,21.0,75.0,32.0,29.0,44.0,15.0,53.0,35.0,25.0,55.0,9.0,47.0,19.0,17.0,22.0,7.0,10.0,11.0,2.0,7.0,4.0,4.0,2.0,4.0,4.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
