Football,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,3.0,,6.0,,12.0,10.0,,30.0,,41.0,,35.0,,81.0,,85.0,,46.0,,76.0,,72.0,,120.0,,73.0,,126.0,,99.0,1.0,141.0,,183.0,,136.0,,127.0,,241.0,,144.0,,343.0,,139.0,,239.0,,233.0,,217.0,1.0,,293.0,,161.0,1.0,130.0,,,169.0,,112.0,,193.0,,53.0,,77.0,,43.0,,41.0,,56.0,,26.0,,14.0,,20.0,,16.0,,22.0,,4.0,,4.0,,4.0,,7.0,13.0,,7.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freestyle Skiing,,,,,,,,,,,,,,,,4.0,3.0,,6.0,3.0,9.0,,2.0,,20.0,12.0,,15.0,,22.0,,13.0,,30.0,,25.0,3.0,23.0,,31.0,,31.0,,35.0,,24.0,,35.0,,30.0,,34.0,,55.0,,13.0,,9.0,,41.0,,16.0,,36.0,,17.0,,37.0,,30.0,,11.0,,,35.0,,19.0,,23.0,,,16.0,,12.0,,31.0,,5.0,,19.0,,15.0,,13.0,,5.0,,5.0,,2.0,,6.0,,1.0,,6.0,,3.0,,3.0,,3.0,,,4.0,,3.0,,,,3.0,,1.0,3.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golf,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,1.0,,1.0,,,,2.0,,2.0,,3.0,,3.0,,1.0,,5.0,,2.0,,2.0,,4.0,,3.0,,7.0,,2.0,,3.0,,5.0,,1.0,,9.0,,,,4.0,,3.0,,2.0,,,5.0,,2.0,,3.0,,,3.0,,2.0,,1.0,,1.0,,3.0,,3.0,,1.0,,2.0,,3.0,,,,3.0,,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnastics,6.0,11.0,40.0,23.0,38.0,50.0,72.0,88.0,128.0,166.0,175.0,177.0,294.0,196.0,216.0,346.0,253.0,344.0,433.0,496.0,456.0,,341.0,,586.0,307.0,,653.0,13.0,353.0,,517.0,,608.0,,698.0,,476.0,,783.0,,646.0,,774.0,,663.0,,804.0,,676.0,39.0,912.0,,918.0,8.0,498.0,,678.0,32.0,591.0,,237.0,16.0,600.0,,212.0,,185.0,,156.0,,54.0,,,108.0,,33.0,,50.0,,,42.0,,12.0,,16.0,,6.0,,3.0,,,,,,14.0,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handball,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,3.0,,,,5.0,,14.0,,10.0,,11.0,,34.0,,25.0,,44.0,,23.0,,59.0,,54.0,,68.0,,84.0,,59.0,,86.0,,84.0,,52.0,,110.0,,55.0,,72.0,,95.0,,72.0,,,101.0,,62.0,,73.0,,,82.0,,72.0,,116.0,,38.0,,98.0,,91.0,,67.0,,103.0,,90.0,,76.0,,92.0,,48.0,,113.0,,33.0,,86.0,,81.0,,65.0,82.0,,74.0,,59.0,,63.0,,26.0,104.0,,6.0,,23.0,,16.0,,30.0,,47.0,,16.0,,11.0,,4.0,,7.0,,24.0,5.0,7.0,,2.0,7.0,5.0,,,,,3.0,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hockey,,,,,,,,,,,,,,,,,,1.0,,5.0,4.0,,10.0,,22.0,12.0,,42.0,,61.0,,64.0,,84.0,,87.0,,106.0,,150.0,,121.0,,159.0,,93.0,,160.0,,144.0,,167.0,,165.0,,103.0,,88.0,,184.0,,128.0,,227.0,,102.0,,150.0,,146.0,,160.0,,,180.0,,166.0,,104.0,,,124.0,,112.0,,163.0,,52.0,,87.0,,48.0,,43.0,,57.0,,30.0,,29.0,,33.0,,19.0,,28.0,,8.0,,12.0,,7.0,,1.0,5.0,,3.0,,,,,,2.0,4.0,,1.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Hockey,,,,,,,,,,,,,,,,,,,,2.0,1.0,,2.0,,5.0,5.0,,11.0,,13.0,,16.0,,13.0,,18.0,,15.0,,24.0,,18.0,,52.0,,17.0,,37.0,,63.0,,51.0,,65.0,,66.0,,90.0,,78.0,,58.0,,118.0,,59.0,,123.0,,85.0,1.0,90.0,,,129.0,4.0,93.0,1.0,152.0,,8.0,136.0,1.0,144.0,8.0,245.0,,103.0,4.0,208.0,4.0,161.0,7.0,184.0,1.0,229.0,,227.0,5.0,106.0,7.0,134.0,7.0,128.0,1.0,149.0,2.0,124.0,2.0,99.0,1.0,122.0,1.0,55.0,117.0,,36.0,,25.0,3.0,38.0,,20.0,61.0,,2.0,,31.0,,12.0,,19.0,,11.0,,2.0,,7.0,,5.0,,3.0,,4.0,1.0,2.0,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judo,,,,,,,,,,,,,,,,,,,2.0,1.0,112.0,1.0,2.0,,6.0,11.0,,127.0,,6.0,,5.0,,6.0,,22.0,,118.0,,9.0,,19.0,,235.0,,20.0,,23.0,,158.0,,30.0,,123.0,,165.0,,9.0,,48.0,,42.0,8.0,157.0,,95.0,,32.0,1.0,157.0,,14.0,,,29.0,,23.0,1.0,37.0,,,199.0,,11.0,,90.0,,152.0,,8.0,,11.0,1.0,17.0,,21.0,,83.0,,10.0,,17.0,,13.0,,170.0,2.0,8.0,,16.0,,44.0,,14.0,86.0,,6.0,2.0,3.0,,25.0,,18.0,154.0,,10.0,,9.0,,9.0,,17.0,,22.0,,2.0,,7.0,,9.0,,6.0,2.0,31.0,8.0,11.0,3.0,1.0,10.0,19.0,5.0,,1.0,3.0,6.0,,3.0,33.0,1.0,2.0,2.0,,3.0,,3.0,29.0,2.0,8.0,,5.0,1.0,,33.0,,4.0,3.0,11.0,1.0,2.0,4.0,15.0,,,3.0,,3.0,,4.0,9.0,4.0,,2.0,3.0,6.0,,,2.0,1.0,,,1.0,,1.0,,,,2.0,,4.0,1.0,,3.0,1.0,,1.0,1.0,,,1.0,2.0
Lacrosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luge,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,1.0,,4.0,,2.0,,3.0,,6.0,,4.0,,10.0,,9.0,,33.0,,16.0,,16.0,,21.0,,26.0,,46.0,,32.0,,29.0,,50.0,,29.0,,77.0,,14.0,,34.0,,43.0,,44.0,,,67.0,,48.0,,31.0,,,44.0,,36.0,,78.0,,16.0,,52.0,,30.0,,51.0,,41.0,,51.0,,18.0,,34.0,,34.0,,71.0,,14.0,,23.0,,3.0,,14.0,33.0,,8.0,,7.0,,2.0,,,9.0,,1.0,,5.0,,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
